gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2019,GOV97400142,GOV0KBXF,415759,4442528,57891141,578605,735016,304249475,235886,67076,505497,56303,70341,val_974e_00142,val_974e_00142,59853,593736685,GOVER72S,77.76
2022,GOV97400143,GOVUNDXY,44103,50324492,587245,371352045,37798642,468731962,55135,25284,4197379,511286,46479,val_974e_00143,val_974e_00143,525463503,39030,GOVPZAAJ,71.39
2023,GOV97400144,GOVY2BRM,405761,712710,76282,90845,2686796,5212130,4926,52075363,151536,460510,60376114,val_974e_00144,val_974e_00144,551355,73233952,GOVJCZSB,22.38
2024,GOV97400145,GOVT4USU,52586588,53950,28221,1464680,691428595,4605672,490964,7795403,513261742,690821057,1975096,val_974e_00145,val_974e_00145,833678473,477965220,GOVFKL04,64.25
2024,GOV97400146,GOVMM7MI,44293316,931021137,457647081,413273125,43748819,233141146,470730,58827,1032162,602978,59066,val_974e_00146,val_974e_00146,4197677,430269804,GOVIPTQU,61.89
2010,GOV97400147,GOVGHQUC,52720,838425309,255748,686831544,361634250,524335,432977,467967008,49897773,1789580,30788,val_974e_00147,val_974e_00147,678863,6411378,GOVWC2W5,78.22
2015,GOV97400148,GOVX77CC,3015931,438585,35223,40894,22914702,42441,4806256,341162141,530076,465881557,4234003,val_974e_00148,val_974e_00148,454579096,797132,GOVVYBUL,19.03
2021,GOV97400149,GOVMSAWS,771964244,48901,3582080,76737995,525795764,94762,743774,50241789,776500,50548843,2682443,val_974e_00149,val_974e_00149,7228122,5837858,GOVM5S5J,84.69
2018,GOV97400150,GOVCIZCG,37261231,6957614,792100527,88698,63057,9149,857636700,3943954,531052,88493,407518,val_974e_00150,val_974e_00150,35638,593064,GOVMJ7MM,78.97
2018,GOV97400151,GOVS6R55,636828,271103,64334367,3866606,488099573,38788962,63353,244181784,68225109,435531,60116591,val_974e_00151,val_974e_00151,557405,599121948,GOVFOG13,53.77
2021,GOV97400152,GOVF1B03,4980,76294641,51991,602787715,544252,412583,47342,260070889,2620900,777799,42427579,val_974e_00152,val_974e_00152,180954855,58654,GOV1ZT0B,88.81
2021,GOV97400153,GOVZMJ0Q,2586264,4587274,6014647,474928515,467422996,67808,5882757,3543793,511982,48663,83077,val_974e_00153,val_974e_00153,5175890,574221042,GOV3JJAG,46.0
2017,GOV97400154,GOVBGL0P,4804267,77851433,79262,5446736,444359588,51978368,9083,355945,1937194,68180,43456,val_974e_00154,val_974e_00154,40547,36029605,GOVT5S9K,66.35
2011,GOV97400155,GOVMJ0A3,91345652,402734,41146,654376026,612046698,48999,535197,665886974,4308832,88571157,81683654,val_974e_00155,val_974e_00155,467730,533793734,GOV9MSPM,1.3
2018,GOV97400156,GOV5FAXR,631156,2866124,70301,50285,68020197,508901,400231482,44679658,64974,5379968,650258274,val_974e_00156,val_974e_00156,703819,70017,GOVY9FC8,43.85
2024,GOV97400157,GOVT5F96,375910289,46140247,2406354,23440,23400,49905111,57746369,26778958,732408541,58844559,2970692,val_974e_00157,val_974e_00157,525485856,7871467,GOVB2VF7,96.95
2015,GOV97400158,GOVJFG92,54241,396203,41603,116375650,446501387,41853,60706,655216,73273309,806509951,491528935,val_974e_00158,val_974e_00158,379048,491201,GOVNHB9T,86.44
2023,GOV97400159,GOVNW0CX,4849772,51831,51558,5486492,247148411,6873508,88180379,66260355,68141,56044950,37599,val_974e_00159,val_974e_00159,335172,231055374,GOVBX3VB,51.74
2011,GOV97400160,GOVHC586,330874,530059,5507941,33862,3294077,61763,194002030,525197199,829212265,15330837,54027796,val_974e_00160,val_974e_00160,6014165,43627252,GOV6U33H,89.39
2010,GOV97400161,GOVQU1GR,356317,95414271,699597154,647315344,719536783,5650502,916426,371915104,55987,5124378,36170047,val_974e_00161,val_974e_00161,882900280,2293757,GOVS4C12,50.39
2026,GOV97400162,GOVRI00A,679739,717326,39977,42350,53802,68225,245638,886455129,550477,52068,705559598,val_974e_00162,val_974e_00162,392430732,48212,GOVJR85B,76.36
2026,GOV97400163,GOV5OUT8,420315,631008565,370448862,658226321,60808,61747,592531610,55648997,238127,840391361,233454,val_974e_00163,val_974e_00163,690751973,303183,GOV0P0R1,87.7
2012,GOV97400164,GOV0TRMC,42139,48891,54261,5027860,26987,94424,206349581,58065,81224,5020774,3849982,val_974e_00164,val_974e_00164,3331465,4902888,GOV0P1M6,26.42
2019,GOV97400165,GOV4LZH1,545903584,16571438,55962,46550494,3158548,1779901,50405994,509737931,26423,418730710,55144405,val_974e_00165,val_974e_00165,407718,829315453,GOVI2VRU,42.28
2012,GOV97400166,GOV3PJ20,52158,733009,3520860,45980191,2889874,6834157,41334,691700,1949860,74855633,30143855,val_974e_00166,val_974e_00166,5123818,9083052,GOV2VUJY,28.66
2024,GOV97400167,GOV7JSE8,3651756,32318450,2536532,86724,3503637,55024,2757628,80347747,37904787,44004832,394007,val_974e_00167,val_974e_00167,597179165,31438,GOV9OP6L,10.05
2011,GOV97400168,GOVORAW5,5402683,3676205,51342368,2612385,607209975,37347540,5347767,24637,5672444,60124,2832825,val_974e_00168,val_974e_00168,845563641,45680,GOVJE0E4,97.73
2021,GOV97400169,GOVFUSED,469396,439910,712785868,425099,56428470,16665,67631502,79469,59339314,354457260,4849325,val_974e_00169,val_974e_00169,5384034,106298,GOV5B5DD,58.73
2016,GOV97400170,GOVO1NJC,537873,39969,346769405,80967904,4069707,32678,7305791,23953339,48158,61141,524103975,val_974e_00170,val_974e_00170,7516538,66535314,GOVKD0LK,49.01
2019,GOV97400171,GOVFTZ0S,41499,19948007,620458003,8424815,55938,5989778,427339402,50931,14310,705472,744194,val_974e_00171,val_974e_00171,612205564,42419784,GOVDBO8F,42.54
2010,GOV97400172,GOVSKFVY,443883,44032,470759727,70476,62203,655023,311315738,655793085,6276015,452258,360946980,val_974e_00172,val_974e_00172,107295,8561219,GOVHLD9N,97.56
2012,GOV97400173,GOVRPEM9,711532,5995682,45426,46498,571149,1668901,757503,566083222,226691650,54597328,74363,val_974e_00173,val_974e_00173,41667,129260,GOVN4VBA,70.16
2013,GOV97400174,GOV0WRIQ,392107,513560800,45385912,44270771,65469800,281489220,40821701,24869,8536346,43126829,54458,val_974e_00174,val_974e_00174,355750,70596341,GOVHMKPY,94.48
2026,GOV97400175,GOVAZEHQ,5877666,6823152,73070811,52804,820144302,57510548,792205,760005,63520,339579632,23374513,val_974e_00175,val_974e_00175,860526346,355980,GOVOC2WD,55.66
2024,GOV97400176,GOVGZR0G,5683139,21149658,584424,559977960,50951,35470,620826335,325619686,627372622,736737073,366469,val_974e_00176,val_974e_00176,631154,6981340,GOVG7KZW,70.53
2016,GOV97400177,GOVIZ184,288976144,452822,73136835,31287157,4347876,4289999,823894736,52802708,40088,440425592,504725,val_974e_00177,val_974e_00177,572862298,309850,GOV1TR1J,66.48
2019,GOV97400178,GOVDWOF5,15132633,6043712,52810135,5052530,4903819,84895871,65649980,5129568,74802,96125102,495769082,val_974e_00178,val_974e_00178,41530961,24172979,GOVO4OSO,9.23
2021,GOV97400179,GOVK1L6O,4065252,740427408,5939722,7287959,462619,6308058,750396831,21515,89761289,512709385,45080,val_974e_00179,val_974e_00179,41416,60928461,GOVHPYY9,80.16
2011,GOV97400180,GOVSJY97,39370379,507029,6370851,5253024,583212092,44031,40119,4137331,62012,296315685,355988,val_974e_00180,val_974e_00180,53039401,3536241,GOVLVX0U,1.4
2023,GOV97400181,GOVRZNW6,482939,78034,75819,301050,555727,36397,31165,476915501,225709,20388717,266668,val_974e_00181,val_974e_00181,247456,53507,GOV03DI0,73.59
2017,GOV97400182,GOV7F193,8485299,5212661,560937,533827699,4378955,16879336,56643,50524520,44623,479924,2977242,val_974e_00182,val_974e_00182,7900230,62304769,GOVJWYRE,74.74
2017,GOV97400183,GOVPG345,2098863,449601,57275478,731915,7777089,47463276,40880,338812039,44470528,18975350,791110,val_974e_00183,val_974e_00183,42520019,38305,GOVV8QA8,41.93
2026,GOV97400184,GOVUMJTI,78247458,75695,45940,4402737,58987391,566421366,79039529,435267645,45273188,467484,425186779,val_974e_00184,val_974e_00184,78470,422711383,GOVR4DED,55.82
2016,GOV97400185,GOVFHQ1K,58187588,52289502,57150470,51697,54461,69507379,5639116,462618620,38110052,28284555,3425952,val_974e_00185,val_974e_00185,6127652,533937,GOVY3IXG,34.15
2012,GOV97400186,GOV0AZUR,60889,53602176,55226429,202935,44268,24490915,270273223,50651741,478624,526142,522081,val_974e_00186,val_974e_00186,273139,49487430,GOVUUIWO,4.59
2022,GOV97400187,GOVOYJ22,90870409,14017019,712389,752190418,5106660,34069,57532621,306055,235823,28628323,48007649,val_974e_00187,val_974e_00187,92229,327035654,GOVAV7ZE,91.92
2013,GOV97400188,GOV9GFJG,536259,1283802,60329001,66145,37893119,48041,60762,47628824,2423896,513402420,40676685,val_974e_00188,val_974e_00188,4411007,608711559,GOVQARPA,71.91
2022,GOV97400189,GOV6IP1Z,416977944,54218324,49255084,353206993,4335087,594385,50691,46624,19318360,307412,38360,val_974e_00189,val_974e_00189,45962,457257,GOV44TAE,37.63
2010,GOV97400190,GOVV0D7S,3948356,423823627,104528,626717,4741619,242992763,833656821,39731560,705398,71066883,39405,val_974e_00190,val_974e_00190,118293,1568262,GOVMZ0F6,60.44
2021,GOV97400191,GOVM51KL,463484,37030655,69240,3384311,710573451,8611152,78571530,42730,72970,30671464,40779,val_974e_00191,val_974e_00191,6371207,56676070,GOVASH1O,17.08
2023,GOV97400192,GOV6ROF9,685528,26107855,43162,334010955,84882080,457941,44685,563044,8659061,82905046,281821305,val_974e_00192,val_974e_00192,51586,41991,GOVBUP2N,47.09
2023,GOV97400193,GOVUDIYS,44277280,669760218,60373,88430499,77580,402662029,699837318,622280121,661912,739869,13208072,val_974e_00193,val_974e_00193,52831887,4759247,GOVJ8RNY,94.54
2015,GOV97400194,GOVQGXS7,12393,44345,2436450,67105620,863999,461383113,527552,4735156,605582920,395705030,517242321,val_974e_00194,val_974e_00194,604465,67846,GOVC688K,3.77
2015,GOV97400195,GOV7HWY3,66868230,4406726,23644312,5956976,2954788,698791645,25562,4138933,487717761,42075,688857,val_974e_00195,val_974e_00195,52051,4540552,GOVCDZJZ,37.86
2022,GOV97400196,GOVTZA7P,6285893,35710962,236997174,604547,421861,47675,13333,258728945,691573,371417,657837156,val_974e_00196,val_974e_00196,638821,109033,GOVOYP61,95.94
2021,GOV97400197,GOV11WVU,616404807,53889207,931502,58470,383324,45415,317860,555230742,33305,616289,78474,val_974e_00197,val_974e_00197,319314558,491484706,GOVV3AA2,71.49
2012,GOV97400198,GOV9SOPT,1412833,7362628,799469519,4793022,492925,600754,76320333,118235,7360316,392949,472120,val_974e_00198,val_974e_00198,53629,31312,GOVDNKSI,57.57
2026,GOV97400199,GOVVWADR,565198715,88225,887294515,388414,83800,51983586,665711,4808762,17235508,3695064,506240373,val_974e_00199,val_974e_00199,638423,66213,GOV6CAE6,6.89
2024,GOV97400200,GOV240CH,52387,543769144,47845,161792,55333522,652930046,22123,6985508,5009930,226894413,65611,val_974e_00200,val_974e_00200,620876,580208,GOVM6AQN,16.29
2023,GOV97400201,GOVFBR3N,47388854,861949,6092903,537527422,400037,50252706,74159225,543425204,368809,458577,4762032,val_974e_00201,val_974e_00201,65485003,374292146,GOV5VC0A,94.83
2015,GOV97400202,GOVD0JLE,36834860,2385400,521702,31989047,3404925,825002279,12688,697900738,453625,62153828,260330811,val_974e_00202,val_974e_00202,4955326,617007,GOVQGMCV,94.86
2013,GOV97400203,GOV97XX0,41633,66764742,39773,650798966,591607688,641238,292832,23306,72948979,2697811,78536404,val_974e_00203,val_974e_00203,537682,544700,GOVEYHDS,46.5
2024,GOV97400204,GOVLUJ6W,42256286,333379,59147457,74087,15910,4411794,46262,52711,548629,336658,78625,val_974e_00204,val_974e_00204,1858783,34645,GOVCXP5E,30.98
2012,GOV97400205,GOVOT7BI,6006367,351105,4653845,406486228,66396683,460890,5553518,431794354,141661,38929940,32734809,val_974e_00205,val_974e_00205,31778,89858734,GOVZ1QF7,65.25
2026,GOV97400206,GOV9KL75,5410432,411230,45609,55678,556122,408036926,60005,39065963,748255641,229669215,602710,val_974e_00206,val_974e_00206,52756464,392923587,GOVPE5O1,53.06
2019,GOV97400207,GOVPN4B5,360184,75882,283254982,350987,6636964,2030201,657477,24848,294460255,445457,523154,val_974e_00207,val_974e_00207,59017156,220465,GOVBEGUZ,52.47
2017,GOV97400208,GOVYPRQD,37867,2725159,360103,5592130,289926238,96443,620624,55027,4322198,174925,741011373,val_974e_00208,val_974e_00208,514859908,514168522,GOVKQ1F2,97.97
2011,GOV97400209,GOVDOVLU,59384,80036615,4775252,75600634,3557253,4255738,69950,8417782,3003300,551579,36996075,val_974e_00209,val_974e_00209,56609737,35391,GOVW4XLL,22.13
2020,GOV97400210,GOVXUZ9H,290420582,1536,29647676,60356,787563573,5933000,1663498,67332619,4912909,526470123,435739690,val_974e_00210,val_974e_00210,795896379,402532,GOV7KTC6,68.67
2015,GOV97400211,GOVNJ04G,16847410,33348955,599271276,105928908,59092495,70185,316159496,40520573,7501450,810877036,780457,val_974e_00211,val_974e_00211,6186329,77596,GOVR6F2G,79.1
2010,GOV97400212,GOV52MHJ,14422244,329,47976025,45578,379292,6034922,421765,84257645,480897,51987671,53741,val_974e_00212,val_974e_00212,522399296,724544,GOV8MLLA,75.74
2025,GOV97400213,GOVWK1WL,499004,65484493,433602,6683451,635833064,72068,647607232,43883350,6435182,34313529,323729,val_974e_00213,val_974e_00213,469258818,44117939,GOVKP3K2,83.55
2010,GOV97400214,GOVQRSWF,2592388,45600,408152616,41518446,33412,59176416,626666040,331768,422599,423238577,757110004,val_974e_00214,val_974e_00214,36035,46225,GOVQU1B0,7.08
2025,GOV97400215,GOVJ6MNC,50419415,8911000,742198871,71895340,31434,43080762,524127,2634675,60516,6393087,723105254,val_974e_00215,val_974e_00215,524990504,16015539,GOVO0DWD,61.77
2023,GOV97400216,GOVP511L,466626984,49153431,92818,61847353,40641420,88075,426450106,60607279,12867428,31228,7317001,val_974e_00216,val_974e_00216,478769480,4403669,GOV8FL0E,98.63
2013,GOV97400217,GOVSR6KG,494626,43811,451578515,454393,86388828,7417210,9191277,47045,52471099,41411851,50344,val_974e_00217,val_974e_00217,57923010,905752667,GOVS99OM,78.92
2012,GOV97400218,GOVII2ZI,630689,3374942,411117,88503797,149970,916422,6727015,31102,672108,910418541,61510548,val_974e_00218,val_974e_00218,850642,329735411,GOVHN6HG,49.04
2021,GOV97400219,GOVGZOWM,56036289,380293,683087,74586,1751107,4661431,67363,542895159,39703117,323157,48700528,val_974e_00219,val_974e_00219,6789394,27728,GOVALDA5,69.63
2014,GOV97400220,GOVYC9YK,4349643,6193688,18687,6799143,2546355,729918481,5284409,745734,606116,4058822,578306,val_974e_00220,val_974e_00220,26605284,79543,GOV0RT8D,72.58
2018,GOV97400221,GOV3VJGB,57733462,574349,224063846,4742309,4813304,13776,50036300,6989048,16122076,60938023,41342,val_974e_00221,val_974e_00221,249193,379285716,GOVD92ML,89.2
2020,GOV97400222,GOVYK01B,23443574,58461,395294,564829,2290308,672525,26117,53761,161895,2157122,59437,val_974e_00222,val_974e_00222,61684,451498091,GOV6R1DT,34.39
2026,GOV97400223,GOVJOA34,49460,594954285,785767,786744340,6823427,55756724,356783,29355413,604265448,295101623,571666442,val_974e_00223,val_974e_00223,91968815,121304,GOVB8D2M,25.67
2022,GOV97400224,GOVNYFLV,409044,53282,36594568,419549,458091,73488661,13237,3714682,28678,22661997,813749,val_974e_00224,val_974e_00224,6713859,383432130,GOVLMLEH,42.22
2023,GOV97400225,GOV8E2UF,3087509,296726,95451961,54327698,542701,612413,715498592,1841444,33049182,66025944,49117,val_974e_00225,val_974e_00225,51554965,8429,GOVZZPFI,16.75
2021,GOV97400226,GOV6KGFX,33097122,419821327,5687289,53924,507407449,8716906,210848904,413682,68673,512877,76867250,val_974e_00226,val_974e_00226,73726,61761164,GOVLTOPX,95.46
2024,GOV97400227,GOVSVTBR,3888596,8082361,416643,4741009,65787,7328497,35323,799525,5251332,539878342,529205,val_974e_00227,val_974e_00227,22783206,1611234,GOVXTH98,85.51
2025,GOV97400228,GOVRG3C0,5535437,52697158,37223946,603329293,62983,4712221,6002784,430609984,72062,318927,5747059,val_974e_00228,val_974e_00228,843573,885711902,GOV6VYP0,28.06
2025,GOV97400229,GOVI7JF3,56215,538050,566701710,309013,70427376,47492723,9892595,59547,4428636,773703,32069,val_974e_00229,val_974e_00229,74772,609233191,GOV7KQUG,19.89
2021,GOV97400230,GOVZSI38,695957701,502802,53436,59650605,20959563,341691,491686,6495335,59314,65865887,53688,val_974e_00230,val_974e_00230,82772917,5770932,GOVO6NRK,0.1
2013,GOV97400231,GOVQTNQ6,4795800,5047705,55189006,36751,52479812,55271,43235,3827875,377705,607511024,2702137,val_974e_00231,val_974e_00231,53165,29709311,GOV5N9LN,91.62
2010,GOV97400232,GOV4MUJH,931546,546290930,594271125,47878,38889,445289426,85580769,52627,557113,8307507,43606403,val_974e_00232,val_974e_00232,271156380,3545249,GOV4TVNP,37.85
2012,GOV97400233,GOVK8FSM,57511,197943142,637061267,36336745,428004527,29356,6141422,240299,555411147,425132,30404,val_974e_00233,val_974e_00233,389440506,693331815,GOVF6JAH,73.45
2024,GOV97400234,GOVTV6KP,78128,635240,37453,3385899,8141975,126913899,4803636,6678284,53753,7194610,380961562,val_974e_00234,val_974e_00234,77769787,916568616,GOVWXOZF,89.42
2021,GOV97400235,GOV4R6EJ,489416,53354347,4551884,455672,6217101,56095,81114850,57997,269651437,489591,342195767,val_974e_00235,val_974e_00235,613396977,6380487,GOV50UCN,5.85
2016,GOV97400236,GOVNY6H1,310667,59455997,55588,74857452,61456,546619996,32217,79491,489059,53843,4927205,val_974e_00236,val_974e_00236,721276802,61430279,GOVZHOCC,99.77
2022,GOV97400237,GOV2TH3S,993858,653212542,6250,4525811,40250530,539072,491489,77162584,62555193,5700422,47126,val_974e_00237,val_974e_00237,510798342,27260379,GOVXKB85,82.06
2021,GOV97400238,GOVT2LM5,4503549,476487,54836591,4609375,571515,914180625,4868597,6075643,30232,627276686,17964,val_974e_00238,val_974e_00238,343120885,79938428,GOV78BHT,53.7
2018,GOV97400239,GOVCD5XM,71768,47429,1708471,62448,369664380,88243917,157374,594495402,57773850,428603439,15623,val_974e_00239,val_974e_00239,79210702,5285799,GOVFBWIX,55.41
2017,GOV97400240,GOV3LRDD,29860275,456087,219297,265713,1185642,483171567,20727,3846671,223990,33346246,451961057,val_974e_00240,val_974e_00240,45934502,4317824,GOV6IX5X,98.86
2018,GOV97400241,GOVZHEZ4,574642325,48001724,5584753,42596396,61406,481891069,263605,67636960,361948,340049,515078,val_974e_00241,val_974e_00241,42615,644704,GOV89VU6,42.65
2025,GOV97400242,GOV8Y7ZK,81205,313341,54246,34410681,367887735,29058003,3305594,65593,6272953,752180274,46123,val_974e_00242,val_974e_00242,483647,234333522,GOV0DF9P,83.6
2025,GOV97400243,GOV0EW5Y,6111136,51384070,30160,59135554,449399,761791978,3345994,458486075,767506,71209162,62158,val_974e_00243,val_974e_00243,28589,625134,GOVHKBEP,31.78
2021,GOV97400244,GOVNAX3T,740696045,6211742,56167,390777581,995092012,558450488,394648,57317,304023838,104210,6482145,val_974e_00244,val_974e_00244,792588615,97614117,GOVXDZ6A,45.18
2018,GOV97400245,GOVFLNAU,1018468245,655294,4629858,66434182,5776133,66860,452246157,2354814,3113042,258120768,300720920,val_974e_00245,val_974e_00245,426997586,251836136,GOV0OKFR,95.91
2017,GOV97400246,GOVH13F2,543454,47763504,442426,86097,6071737,69173546,61418,3869946,37241,49522,8489040,val_974e_00246,val_974e_00246,806900,40499867,GOVEBO2O,64.25
2025,GOV97400247,GOVO5W7A,3092072,341588998,413934,6997,20937,673502,69008,415466,174015333,426566,802825,val_974e_00247,val_974e_00247,22176637,41418588,GOV11QEL,3.73
2022,GOV97400248,GOV87B3Y,51844,365202660,721884815,38107648,50845281,23239289,8477628,6972155,56587,80062445,574862182,val_974e_00248,val_974e_00248,68908122,5105242,GOV6ZUE1,97.75
2015,GOV97400249,GOVZBNOJ,639052,427147,639521,353856,45055273,46778,423884027,31057417,85475,69935,3445771,val_974e_00249,val_974e_00249,29082630,272713367,GOV4T8IG,51.35
2010,GOV97400250,GOVCWFM9,22207,33654,74682925,77566,27681,5649,42808176,771461,46314179,49982404,73008590,val_974e_00250,val_974e_00250,589916924,542632,GOVN3MT0,52.81
2026,GOV97400251,GOVX23G9,622531,42089,62509701,405207,5110732,83105735,7713,681660161,361673,140270,37116,val_974e_00251,val_974e_00251,52410,22964709,GOVTUF7P,5.59
2022,GOV97400252,GOV26LHM,4707358,5184639,5309597,32240941,634417,882615487,1994483,686464,55338180,4713146,4427029,val_974e_00252,val_974e_00252,571820,73734705,GOVWFNDZ,40.24
2022,GOV97400253,GOVJ32RO,70074378,59238088,6777186,414555,388846,34286263,84904042,561515385,63389,8374900,6075294,val_974e_00253,val_974e_00253,4456139,69892,GOVA8Z2A,69.67
2013,GOV97400254,GOVRO96H,606581870,1048092,74969390,25028522,495687929,50767,4279059,495457,15660835,52745992,35269138,val_974e_00254,val_974e_00254,43293413,53694,GOVL8WWH,95.47
