health_eh_reference_year,health_eh_country_iso2,health_eh_region_nuts_code,health_eh_ehr_coverage_pct,health_eh_e_prescription_coverage_pct,health_eh_e_referral_coverage_pct,health_eh_patient_portal_usage_pct,health_eh_interoperability_level_code,health_eh_eidas_authentication_supported_flag,health_eh_cross_border_ehealth_enabled_flag,health_eh_cyber_incidents_count,health_eh_gdpr_breach_notifications_count,health_eh_digital_health_apps_certified_count,health_eh_ai_in_clinical_use_cases_count,health_eh_telemedicine_visits_per_1k,health_eh_remote_monitoring_patients_count,health_eh_data_spaces_health_flag,health_eh_data_source,health_eh_methodology_version,health_eh_data_extract_date
2024,PT,LU4,65.34,75.98,74.09,73.17,LEVEL_3_SEMANTIC,0,1,103,16,503,294,92.8,20395,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-02-07
2025,BE,LU173,65.18,89.46,69.22,72.52,LEVEL_4_FEDERATED,1,1,34,34,3343,25,190.1,178288,1,EHDS_PILOT_REPORT,EHEALTH_V3,2024-12-19
2006,FI,IE802,18.19,10.71,21.84,14.78,LEVEL_0_NONE,0,0,40,3,1273,79,44.64,132133,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-09-10
2007,LV,CY324,19.06,36.12,13.77,20.19,LEVEL_1_BASIC,0,0,17,27,1451,90,152.83,127052,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-12-06
2008,RO,BE8,41.32,10.72,14.92,30.49,LEVEL_2_STRUCTURED,0,0,24,18,350,27,141.89,140563,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-12-27
2009,BG,LT10,27.85,46.77,23.36,31.03,LEVEL_3_SEMANTIC,0,0,41,1,1351,108,147.07,30327,1,EHDS_PILOT_REPORT,EHEALTH_V2,2024-11-12
2010,FR,PL18,53.41,38.97,22.8,30.69,LEVEL_4_FEDERATED,1,0,45,38,1461,54,104.67,98914,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-02-09
2011,LT,AT442,53.98,45.41,21.46,23.35,LEVEL_0_NONE,0,0,26,4,970,67,29.35,79046,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-10-03
2012,SK,DE71,59.84,45.16,28.41,25.08,LEVEL_1_BASIC,0,0,2,10,60,84,182.17,88470,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-06-23
2013,HR,ES64,53.78,52.14,43.03,43.46,LEVEL_2_STRUCTURED,0,0,5,40,246,53,169.83,9447,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-11-09
2014,DE,PT45,28.77,60.41,43.04,21.91,LEVEL_3_SEMANTIC,1,0,52,49,191,26,138.36,126887,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-11-04
2015,LU,AT74,50.95,57.99,45.31,40.72,LEVEL_4_FEDERATED,0,0,18,19,102,64,13.82,105401,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-06-05
2016,SI,HU50,60.32,64.03,48.64,24.4,LEVEL_0_NONE,1,0,48,9,1365,110,140.72,103489,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-12-15
2017,CY,FI399,41.52,53.57,53.78,37.41,LEVEL_1_BASIC,0,0,14,1,73,36,37.64,114457,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-11-26
2018,GR,LU53,72.37,53.83,68.41,48.78,LEVEL_2_STRUCTURED,0,0,12,42,2546,83,117.13,99666,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-03-18
2019,MT,BE511,73.34,55.03,46.2,46.18,LEVEL_3_SEMANTIC,0,1,34,35,33,78,10.61,97372,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-04-25
2020,ES,SI32,48.89,52.66,50.91,43.96,LEVEL_4_FEDERATED,0,1,71,5,487,46,382.89,267186,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-07-05
2021,CZ,EE4,81.73,54.14,61.18,46.28,LEVEL_0_NONE,0,0,84,60,561,197,45.85,248027,0,EHDS_PILOT_REPORT,EHEALTH_V2,2026-01-06
2022,HU,SI635,52.74,80.13,92.1,44.98,LEVEL_1_BASIC,1,1,50,59,2848,10,237.41,249873,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-07-02
2023,NL,LV71,71.58,71.4,53.72,72.15,LEVEL_2_STRUCTURED,1,0,60,50,2947,59,245.53,57779,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-09-07
2024,SE,SK380,98.3,56.45,59.34,66.8,LEVEL_3_SEMANTIC,0,0,62,12,3216,161,166.03,238269,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-07-19
2025,DK,HR299,79.6,76.75,71.01,63.87,LEVEL_4_FEDERATED,0,1,31,33,575,176,137.26,75662,1,EHDS_PILOT_REPORT,EHEALTH_V1,2024-04-23
2006,IE,SE81,39.16,37.26,3.18,21.45,LEVEL_0_NONE,0,0,0,33,60,71,205.87,107562,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-06-06
2007,PL,DE354,18.3,32.51,24.0,27.39,LEVEL_1_BASIC,0,0,45,4,696,27,78.26,138142,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-02-23
2008,AT,PT693,28.94,29.94,34.87,13.16,LEVEL_2_STRUCTURED,0,0,37,4,1018,83,103.27,103076,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-06-28
2009,EE,PL21,19.7,35.14,35.53,34.6,LEVEL_3_SEMANTIC,0,0,8,40,133,52,28.85,72888,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-03-21
2010,IT,EE782,16.44,41.71,22.57,31.74,LEVEL_4_FEDERATED,0,0,16,27,1045,91,147.58,23180,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-11-24
2011,PT,HU192,41.3,39.62,37.6,23.54,LEVEL_0_NONE,1,0,16,35,1156,30,109.24,32641,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-06-07
2012,BE,DK83,38.86,45.57,21.44,40.26,LEVEL_1_BASIC,0,0,59,48,416,29,33.82,45166,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-12-21
2013,FI,PT680,65.41,26.57,48.25,26.84,LEVEL_2_STRUCTURED,0,0,51,19,55,41,108.43,60476,0,EHDS_PILOT_REPORT,EHEALTH_V2,2026-02-21
2014,LV,EE643,56.4,29.08,44.2,27.02,LEVEL_3_SEMANTIC,1,1,5,1,672,56,83.33,31053,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-12-17
2015,RO,IE352,70.37,47.89,43.04,22.84,LEVEL_4_FEDERATED,0,0,59,3,279,1,23.68,86109,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-04-08
2016,BG,SE147,69.43,36.85,55.81,36.15,LEVEL_0_NONE,1,0,7,7,1387,96,9.16,2296,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-10-16
2017,FR,MT547,68.5,54.65,42.24,37.55,LEVEL_1_BASIC,0,0,33,39,926,103,119.51,23297,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-07-03
2018,LT,AT47,62.73,77.0,61.06,45.79,LEVEL_2_STRUCTURED,1,0,12,37,1371,0,189.9,104031,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-08-21
2019,SK,AT948,65.32,71.43,50.58,49.41,LEVEL_3_SEMANTIC,0,1,1,15,2850,82,205.89,71233,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-06-07
2020,HR,CZ99,64.33,74.78,56.41,50.74,LEVEL_4_FEDERATED,0,1,63,39,3347,86,60.63,179438,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-04-06
2021,DE,DE60,84.27,78.05,51.06,39.34,LEVEL_0_NONE,1,1,22,8,3001,354,138.79,6773,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-11-22
2022,LU,CZ3,53.48,87.53,52.06,58.86,LEVEL_1_BASIC,1,1,78,48,3340,237,113.7,88600,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-04-07
2023,SI,LT362,66.58,99.0,77.48,83.16,LEVEL_2_STRUCTURED,0,1,12,9,3102,375,102.04,126017,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-12-31
2024,CY,DE18,66.19,73.71,66.86,67.73,LEVEL_3_SEMANTIC,0,0,37,12,669,137,100.22,274205,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-05-20
2025,GR,ES9,88.72,88.03,51.72,54.38,LEVEL_4_FEDERATED,0,0,13,33,2196,319,206.49,36142,1,EHDS_PILOT_REPORT,EHEALTH_V2,2024-08-28
2006,MT,ES509,35.04,8.94,34.26,25.41,LEVEL_0_NONE,0,0,58,21,957,106,144.08,27430,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-10-26
2007,ES,DK16,45.74,38.23,9.85,24.41,LEVEL_1_BASIC,0,0,38,5,1419,106,44.33,64302,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-08-20
2008,CZ,BG9,28.77,25.67,20.63,28.65,LEVEL_2_STRUCTURED,0,0,61,23,323,14,20.41,102286,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-04-08
2009,HU,CZ1,42.96,45.38,33.95,13.96,LEVEL_3_SEMANTIC,0,0,46,7,1082,50,141.52,68892,1,EHDS_PILOT_REPORT,EHEALTH_V1,2025-03-21
2010,NL,AT761,38.36,20.56,44.48,26.23,LEVEL_4_FEDERATED,1,1,19,9,945,1,33.59,114349,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2026-02-20
2011,SE,SE710,49.75,27.66,29.17,22.08,LEVEL_0_NONE,0,0,46,58,602,70,150.49,90869,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-06-14
2012,DK,LT63,39.13,44.02,44.78,33.13,LEVEL_1_BASIC,0,0,43,48,881,2,50.26,101282,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-06-01
2013,IE,PT2,29.8,28.27,36.03,31.15,LEVEL_2_STRUCTURED,0,0,30,59,895,33,100.6,108888,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-06-01
2014,PL,SE338,65.15,46.63,28.38,31.0,LEVEL_3_SEMANTIC,0,0,18,23,1329,101,135.13,90256,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-01-22
2015,AT,PL971,59.83,49.55,57.79,46.15,LEVEL_4_FEDERATED,0,0,37,20,1111,110,59.51,71454,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-08-10
2016,EE,FI75,42.8,55.6,43.12,37.17,LEVEL_0_NONE,1,0,5,4,220,104,76.04,56277,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-01-21
2017,IT,LV9,51.97,45.51,42.07,60.59,LEVEL_1_BASIC,1,0,57,68,148,83,223.88,116993,1,EHDS_PILOT_REPORT,EHEALTH_V2,2024-08-12
2018,PT,CY963,61.71,65.87,49.85,51.48,LEVEL_2_STRUCTURED,1,0,61,31,548,38,121.28,109750,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-12-27
2019,BE,MT83,51.73,58.71,63.57,35.8,LEVEL_3_SEMANTIC,1,0,17,28,66,53,26.66,43819,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2026-02-08
2020,FI,MT4,59.15,79.85,62.71,57.6,LEVEL_4_FEDERATED,1,1,99,45,1316,16,90.15,121727,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-07-02
2021,LV,FI43,52.98,76.83,67.97,62.22,LEVEL_0_NONE,1,0,19,15,1712,241,373.39,249639,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-06-01
2022,RO,BG5,69.37,72.77,67.76,57.26,LEVEL_1_BASIC,0,0,79,35,3447,120,203.77,270077,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-11-20
2023,BG,IT719,75.26,61.02,57.04,77.81,LEVEL_2_STRUCTURED,0,1,43,44,806,243,74.81,168395,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-03-13
2024,FR,DK2,100.0,80.91,55.65,55.49,LEVEL_3_SEMANTIC,0,0,40,48,2456,211,150.73,105977,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-07-01
2025,LT,CY3,71.95,76.53,60.9,77.18,LEVEL_4_FEDERATED,0,0,63,65,3289,82,196.87,113411,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-06-22
2006,SK,PT32,27.22,4.11,26.09,6.0,LEVEL_0_NONE,0,0,19,25,15,86,74.96,45933,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2026-02-18
2007,HR,RO4,8.99,41.84,29.42,9.52,LEVEL_1_BASIC,1,0,60,55,692,109,86.27,57690,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-01-27
2008,DE,HU526,19.85,16.55,38.02,10.8,LEVEL_2_STRUCTURED,0,0,21,25,305,56,22.49,78840,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-02-14
2009,LU,HR4,13.68,29.01,29.13,10.67,LEVEL_3_SEMANTIC,0,0,49,38,815,37,71.68,127513,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-08-01
2010,SI,SK2,48.37,37.8,33.01,33.76,LEVEL_4_FEDERATED,1,0,45,43,1494,36,89.45,123501,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-02-17
2011,CY,CY46,34.71,50.47,39.71,29.13,LEVEL_0_NONE,0,0,11,9,330,111,48.6,25947,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-07-12
2012,GR,LV2,32.63,28.26,50.56,17.58,LEVEL_1_BASIC,0,0,32,13,437,10,31.46,120893,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2026-01-06
2013,MT,RO54,29.24,61.6,50.12,42.48,LEVEL_2_STRUCTURED,0,0,10,21,166,66,23.39,119950,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-02-17
2014,ES,LT1,59.84,48.55,20.63,38.82,LEVEL_3_SEMANTIC,0,0,50,15,1072,79,174.68,138610,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-11-15
2015,CZ,BG561,45.02,65.38,41.57,44.74,LEVEL_4_FEDERATED,0,0,60,11,1062,95,117.05,81548,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-01-19
2016,HU,NL1,57.68,41.93,59.03,53.35,LEVEL_0_NONE,0,0,24,8,1053,30,97.35,122234,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-10-23
2017,NL,PT616,38.75,67.96,32.36,47.85,LEVEL_1_BASIC,0,1,24,5,73,38,14.46,6306,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-10-04
2018,SE,HU149,61.73,56.52,73.94,47.18,LEVEL_2_STRUCTURED,0,0,8,37,2277,51,196.52,136290,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2026-01-02
2019,DK,EE3,57.18,43.72,47.92,45.14,LEVEL_3_SEMANTIC,1,1,42,8,2840,40,230.71,114398,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-12-25
2020,IE,LV739,58.78,59.84,65.07,50.35,LEVEL_4_FEDERATED,0,1,13,22,572,4,142.77,142396,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-09-03
2021,PL,DK73,90.99,71.17,75.25,50.07,LEVEL_0_NONE,1,0,60,38,275,382,125.83,269651,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-10-05
2022,AT,IT166,66.9,75.23,67.82,61.66,LEVEL_1_BASIC,0,0,1,0,2394,233,161.0,258143,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-09-04
2023,EE,SK367,76.95,77.01,65.18,48.81,LEVEL_2_STRUCTURED,1,0,91,37,649,154,227.94,185018,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-01-17
2024,IT,HR713,100.0,100.0,77.64,50.1,LEVEL_3_SEMANTIC,0,1,64,65,525,299,31.6,168471,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-12-20
2025,PT,FI5,100.0,83.78,74.55,74.05,LEVEL_4_FEDERATED,1,1,49,19,2744,58,168.14,90579,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-06-10
2006,BE,EE26,21.13,11.69,24.68,17.59,LEVEL_0_NONE,0,0,52,16,447,24,129.4,116347,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-03-10
2007,FI,ES16,26.5,12.85,21.66,16.07,LEVEL_1_BASIC,0,0,36,53,631,58,112.78,96101,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-01-18
2008,LV,SE33,45.08,42.6,7.63,11.81,LEVEL_2_STRUCTURED,0,0,8,22,599,16,120.75,6483,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-01-05
2009,RO,FR35,28.79,31.96,19.81,27.2,LEVEL_3_SEMANTIC,0,0,48,67,951,102,88.04,111943,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-05-08
2010,BG,PT1,55.86,27.12,46.5,25.07,LEVEL_4_FEDERATED,0,1,14,0,1519,48,109.87,915,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-01-04
2011,FR,IE6,41.06,29.38,43.25,24.22,LEVEL_0_NONE,0,0,5,21,741,36,183.89,91271,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-06-10
2012,LT,DK47,26.14,26.91,36.96,31.05,LEVEL_1_BASIC,0,1,39,55,121,15,196.07,66490,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-01-09
2013,SK,BG50,31.24,34.09,39.16,26.78,LEVEL_2_STRUCTURED,1,1,15,4,6,110,151.92,43273,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-05-31
2014,HR,PT487,51.55,34.33,28.83,26.92,LEVEL_3_SEMANTIC,0,1,32,49,447,79,101.31,18090,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-09-28
2015,DE,HR3,36.91,38.78,37.3,33.21,LEVEL_4_FEDERATED,0,0,24,39,225,25,202.59,97543,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-07-02
2016,LU,HU3,58.85,55.06,42.78,47.82,LEVEL_0_NONE,0,0,11,36,1350,23,138.37,61173,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-10-19
2017,SI,PL8,37.84,62.07,56.73,56.67,LEVEL_1_BASIC,0,0,6,16,770,102,229.76,95496,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-07-21
2018,CY,AT6,38.04,36.61,39.86,51.57,LEVEL_2_STRUCTURED,1,0,53,1,1053,15,3.41,41760,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-09-04
2019,GR,ES5,64.12,78.42,56.0,29.41,LEVEL_3_SEMANTIC,1,0,6,35,988,55,107.83,23846,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-12-31
2020,MT,LT9,59.97,77.29,46.03,49.7,LEVEL_4_FEDERATED,1,1,5,3,1371,24,266.46,255215,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-06-25
2021,ES,BG3,73.42,81.29,79.12,41.18,LEVEL_0_NONE,0,1,90,43,3253,264,269.22,171444,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-09-21
2022,CZ,GR5,58.82,56.25,68.2,57.22,LEVEL_1_BASIC,1,0,6,0,626,81,31.55,180175,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-10-12
2023,HU,LV8,58.45,92.1,72.46,46.98,LEVEL_2_STRUCTURED,1,0,0,20,2316,337,68.25,267455,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-09-01
2024,NL,ES24,77.03,75.34,62.26,73.27,LEVEL_3_SEMANTIC,0,0,88,16,2494,280,69.62,74069,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-05-28
2025,SE,LU5,83.75,69.47,81.7,49.13,LEVEL_4_FEDERATED,1,0,41,4,49,93,215.09,266947,1,EHDS_PILOT_REPORT,EHEALTH_V2,2025-10-31
2006,DK,NL5,31.15,17.5,6.92,15.81,LEVEL_0_NONE,0,1,36,50,682,52,175.74,115853,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-05-06
2007,IE,NL39,41.3,31.97,16.29,9.05,LEVEL_1_BASIC,0,0,44,7,1238,45,42.74,29816,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-04-01
2008,PL,FI935,28.05,20.63,30.15,29.26,LEVEL_2_STRUCTURED,1,0,4,12,474,86,73.34,112202,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-08-25
2009,AT,IT257,38.82,21.63,31.33,36.05,LEVEL_3_SEMANTIC,0,0,2,41,1510,33,206.94,53487,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-03-19
2010,EE,SI1,19.11,17.38,35.56,16.58,LEVEL_4_FEDERATED,0,0,19,25,940,71,43.58,43486,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-12-21
2011,IT,LV36,38.16,27.97,38.58,21.15,LEVEL_0_NONE,0,0,31,50,1388,23,105.41,27996,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-10-25
2012,PT,ES719,43.53,33.28,22.42,13.61,LEVEL_1_BASIC,0,0,2,43,634,74,169.0,45368,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-11-01
2013,BE,ES770,38.91,55.11,31.09,42.85,LEVEL_2_STRUCTURED,0,0,29,4,1043,45,178.12,69393,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-10-20
2014,FI,LU9,43.01,38.23,38.68,54.96,LEVEL_3_SEMANTIC,0,0,55,49,97,57,88.16,44011,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-07-02
2015,LV,NL87,77.82,54.91,25.08,31.71,LEVEL_4_FEDERATED,0,0,52,47,361,46,136.85,107845,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-09-04
2016,RO,AT167,73.53,54.95,52.96,47.97,LEVEL_0_NONE,0,0,42,21,341,85,53.98,110578,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-02-21
2017,BG,CZ239,54.64,67.3,60.21,26.53,LEVEL_1_BASIC,1,1,23,17,539,86,115.19,138398,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-07-30
2018,FR,GR85,70.0,67.43,40.3,61.78,LEVEL_2_STRUCTURED,1,0,61,0,1028,92,32.65,37079,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-06-22
2019,LT,NL493,59.18,49.19,55.67,40.7,LEVEL_3_SEMANTIC,1,1,41,32,1292,91,10.1,55963,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-10-15
2020,SK,LU439,67.83,60.89,42.55,54.39,LEVEL_4_FEDERATED,0,1,81,16,1487,47,322.19,170225,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-10-21
2021,HR,CY841,53.95,59.95,74.91,46.75,LEVEL_0_NONE,1,1,73,54,2966,127,173.88,252272,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-09-27
2022,DE,AT515,66.97,77.16,49.1,63.65,LEVEL_1_BASIC,1,0,73,41,357,80,113.7,138405,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-09-24
2023,LU,LT7,77.73,55.14,54.67,67.99,LEVEL_2_STRUCTURED,0,1,1,28,596,54,5.26,182302,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-07-10
2024,SI,CZ449,87.44,71.63,67.04,66.28,LEVEL_3_SEMANTIC,0,0,79,35,710,265,205.72,163991,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-06-19
2025,CY,AT45,88.02,61.96,61.06,63.24,LEVEL_4_FEDERATED,0,1,14,1,1255,27,34.98,16100,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-09-12
2006,GR,FI32,40.95,32.28,9.91,21.63,LEVEL_0_NONE,0,0,18,24,981,34,177.98,129619,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-09-14
2007,MT,FR538,11.1,32.05,6.87,9.51,LEVEL_1_BASIC,0,0,29,55,589,94,71.05,100670,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-10-30
2008,ES,DE44,30.12,44.63,8.15,13.32,LEVEL_2_STRUCTURED,0,0,47,57,1289,0,4.49,85425,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-04-07
2009,CZ,PT8,15.49,20.43,38.0,21.84,LEVEL_3_SEMANTIC,0,0,41,38,388,99,20.5,18038,0,EHDS_PILOT_REPORT,EHEALTH_V2,2026-02-10
2010,HU,SI26,37.93,17.73,34.86,33.55,LEVEL_4_FEDERATED,0,1,20,32,1420,37,183.43,113803,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-02-15
2011,NL,LV53,25.14,37.13,15.25,16.31,LEVEL_0_NONE,0,0,7,19,598,106,59.24,3603,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-09-05
2012,SE,LU47,29.45,29.21,42.23,42.06,LEVEL_1_BASIC,0,0,40,20,164,18,168.5,10272,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-11-14
2013,DK,GR3,69.26,43.03,30.96,23.12,LEVEL_2_STRUCTURED,0,0,34,24,521,53,25.99,88665,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-08-02
2014,IE,IE25,58.52,36.12,30.0,47.4,LEVEL_3_SEMANTIC,0,0,35,42,185,25,30.05,13543,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-09-03
2015,PL,CY183,41.21,47.9,34.72,46.68,LEVEL_4_FEDERATED,0,0,41,10,410,46,77.69,120150,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-08-03
2016,AT,PL73,64.96,55.56,49.0,32.23,LEVEL_0_NONE,1,0,20,15,572,38,47.06,124611,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-12-27
2017,EE,AT371,43.28,74.7,46.51,55.17,LEVEL_1_BASIC,1,0,30,59,545,65,15.78,8026,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-06-04
2018,IT,MT95,38.36,56.26,50.35,64.41,LEVEL_2_STRUCTURED,1,0,21,30,487,55,155.22,3587,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-02-18
2019,PT,LU49,39.13,69.05,54.73,33.84,LEVEL_3_SEMANTIC,0,1,5,33,3403,17,103.0,47757,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-10-24
2020,BE,LU40,72.6,69.38,51.2,74.47,LEVEL_4_FEDERATED,0,0,48,13,3034,45,352.57,62078,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-06-29
2021,FI,SE34,57.25,60.24,64.67,52.3,LEVEL_0_NONE,1,0,81,61,381,153,208.8,54005,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-10-01
2022,LV,SI27,81.3,97.24,88.74,79.66,LEVEL_1_BASIC,0,1,11,23,1802,63,90.3,89739,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-12-03
2023,RO,SK6,56.08,49.29,75.68,57.82,LEVEL_2_STRUCTURED,1,0,21,39,1888,285,213.52,4882,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-07-20
2024,BG,BG68,98.03,74.9,66.31,50.95,LEVEL_3_SEMANTIC,0,0,74,0,1383,158,64.54,239918,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-06-07
