demo_popproj_projection_year,demo_popproj_geography_lgd_code,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2040,21373378,10-14,F,Other,1697756,1801061,1686815,1989899,2329,7134,19800,9408,113722,10027,0.9911,1.99,0.0131,2021-Q%q,CENSUS_ADJ
2033,35022334,45-49,M,OBC,1414210,1207491,1121880,1324658,62599,6703,-37524,-4527,158777,28870,0.9128,3.0,-0.0058,2025-Q%q,BAYES
2024,44916673,05-09,X,SC,1881460,2093976,1975537,2291085,7863,26447,30032,-444,383731,49604,0.9405,3.18,0.0056,2018-Q%q,COHORTCOMP
2035,25006966,75-79,F,OBC,735162,793151,750363,831231,60719,29958,32618,1464,550188,17261,0.9903,3.55,-0.0075,2019-Q%q,CENSUS_ADJ
2035,57930687,70-74,F,ST,232452,216610,192952,241176,59262,33936,-19973,-9670,4956,40980,0.9073,1.75,0.0322,2021-Q%q,TREND
2032,32874791,85+,X,ST,1629274,1715313,1568360,1838761,41281,8727,42406,-1822,577563,24048,0.9555,3.52,-0.0135,2020-Q%q,TREND
2028,26039630,60-64,X,General,977389,977088,894764,1045976,22892,44448,28137,9084,536229,30196,0.992,1.89,-0.0031,2024-Q%q,TREND
2038,16221373,75-79,X,SC,1926879,2131834,1939229,2342523,25961,31483,-18991,-9476,585215,39663,0.8976,1.21,-0.0082,2019-Q%q,TREND
2030,15833706,40-44,X,SC,1868826,2141894,1980825,2259031,53516,36944,-13286,1757,265107,33645,0.9652,1.73,0.0285,2019-Q%q,COHORTCOMP
2038,18831689,05-09,X,ST,1361774,1327621,1246850,1418325,64414,46755,39042,-4033,42947,20877,0.9866,3.77,0.0386,2019-Q%q,HYBRID
2023,17749326,20-24,F,General,959974,888979,830420,965874,69957,1454,-3830,5038,514696,22980,0.9527,1.67,0.0211,2021-Q%q,CENSUS_ADJ
2037,96851255,10-14,M,SC,884968,916239,840646,1021832,62238,41458,-42550,3388,35173,44003,0.9739,1.58,0.0367,2018-Q%q,CENSUS_ADJ
2032,96967754,75-79,X,General,1248155,1148661,1076813,1226369,77857,56493,32520,-7521,582147,23024,0.9012,2.79,0.0206,2018-Q%q,COHORTCOMP
2026,76227076,65-69,M,SC,480842,574947,531543,621326,33717,17738,-24994,5767,152485,5740,0.8947,2.86,0.0317,2026-Q%q,HYBRID
2021,10364016,35-39,M,OBC,360592,375589,353123,402536,43155,47668,41483,1851,288147,20154,0.99,1.39,0.0275,2023-Q%q,CENSUS_ADJ
2032,41877053,50-54,F,SC,584457,666710,613546,711057,35196,27053,-19777,7405,290099,43474,0.9921,2.81,-0.0139,2020-Q%q,BAYES
2035,59267113,10-14,X,General,1496454,1640274,1497951,1771355,23937,39426,-30096,2449,206160,23435,0.8847,2.41,0.036,2022-Q%q,COHORTCOMP
2036,25323306,85+,X,SC,825287,1030894,972071,1096367,67701,35849,-11417,-38,65879,11429,0.9682,1.88,0.009,2024-Q%q,CENSUS_ADJ
2035,51708390,25-29,X,OBC,152794,174904,166668,191499,30931,38434,34941,7705,359654,22863,0.9064,3.25,0.0245,2020-Q%q,COHORTCOMP
2037,74599917,85+,X,Other,1895470,2176808,2037972,2379352,60516,48951,37906,-9844,63417,9665,0.891,3.37,0.0279,2022-Q%q,COHORTCOMP
2038,72634159,60-64,X,General,833114,869062,823971,950058,37275,17722,-49630,6586,199003,23793,0.9052,1.52,-0.0123,2024-Q%q,COHORTCOMP
2023,28849428,50-54,X,ST,643000,632043,590928,698473,37470,14569,5830,1862,174709,14585,0.9847,3.01,0.0316,2022-Q%q,COHORTCOMP
2023,29958782,25-29,M,SC,1632642,1457110,1332125,1582842,56538,36960,-3396,4128,29387,34732,0.9567,2.94,0.0071,2021-Q%q,CENSUS_ADJ
2027,48859839,55-59,F,ST,376468,390376,365029,421728,16156,40981,-43397,-1516,69085,19955,0.9121,3.11,0.0016,2022-Q%q,COHORTCOMP
2023,76057117,10-14,F,ST,1707890,1874769,1735824,2003152,50191,5111,26684,5954,459589,340,0.9226,2.32,0.025,2019-Q%q,HYBRID
2035,49865665,35-39,X,ST,942609,816551,761910,879999,47451,38283,35288,-9353,335991,18712,0.9649,1.91,0.0083,2019-Q%q,BAYES
2030,87552739,35-39,M,SC,1232930,1107867,965872,1253843,51139,39187,19260,4514,21254,49868,0.9455,3.6,0.0346,2021-Q%q,TREND
2023,44681212,70-74,M,General,1948664,2182213,1994120,2313315,42663,8537,18967,-4032,336799,18922,0.8942,2.44,0.002,2022-Q%q,COHORTCOMP
2036,45440060,55-59,M,Other,1218157,1101744,988841,1225033,77819,8471,15767,9924,165039,1898,0.954,2.53,-0.0072,2025-Q%q,TREND
2030,41381470,60-64,F,OBC,1620348,1880809,1781963,2018471,60295,54352,-30389,1261,186306,21496,0.9573,3.51,0.0426,2019-Q%q,TREND
2025,81029214,35-39,X,General,1083969,1211034,1135417,1299301,25957,50793,29578,2474,449147,16565,0.9096,2.89,0.0072,2018-Q%q,TREND
2034,86426875,80-84,F,SC,1974542,1894542,1779883,2118161,22574,11012,3366,2620,20788,37508,0.8853,1.25,0.0259,2022-Q%q,CENSUS_ADJ
2039,32261361,35-39,M,SC,1512673,1321249,1235287,1431721,36579,48620,48578,-7705,156002,35075,0.9927,3.08,0.0073,2025-Q%q,COHORTCOMP
2025,74924897,80-84,M,Other,1040840,1258343,1137685,1343838,64704,22980,-44926,-258,221258,47711,0.8963,1.63,0.0175,2018-Q%q,CENSUS_ADJ
2035,48155433,75-79,X,Other,845477,725343,652544,791584,61439,55116,-42475,-1629,575878,27888,0.9307,2.29,-0.0037,2026-Q%q,COHORTCOMP
2028,10965919,25-29,F,OBC,1194083,1056821,975374,1172953,35937,47707,1742,-9855,13718,45157,0.9635,2.63,0.0059,2024-Q%q,COHORTCOMP
2027,90109908,00-04,X,General,949932,1088615,1036872,1188558,29362,1233,46335,-2010,45919,5372,0.9596,1.91,0.008,2024-Q%q,TREND
2024,45388255,50-54,X,OBC,350477,395743,359677,429324,74542,33512,14173,2099,482942,23465,0.9591,1.53,-0.0041,2018-Q%q,BAYES
2029,60368140,00-04,M,General,155127,142847,129806,151612,13743,40460,-39612,4410,548808,16681,0.8915,1.82,0.013,2026-Q%q,BAYES
2031,52323366,70-74,X,Other,1444011,1494704,1336876,1629106,11521,41069,20445,8023,543432,4601,0.9381,3.41,-0.0004,2021-Q%q,COHORTCOMP
2022,95938172,75-79,M,ST,729299,708235,668236,789577,24909,34820,-48770,-9350,196482,31388,0.9354,1.81,0.0448,2025-Q%q,COHORTCOMP
2034,50689865,80-84,F,Other,664429,719424,643118,758195,56990,13847,44161,3085,322519,25068,0.8984,1.67,0.018,2018-Q%q,HYBRID
2039,51081792,85+,X,SC,1019219,1222181,1144285,1337014,25434,18710,-24391,682,547277,39089,0.9164,3.51,-0.0145,2022-Q%q,COHORTCOMP
2035,20484493,65-69,M,SC,1979164,2000679,1840862,2231328,62505,38599,-36233,4273,196891,48511,0.9803,1.55,-0.012,2019-Q%q,HYBRID
2032,94704297,00-04,F,SC,1016668,1044122,938156,1136186,56031,56989,-33365,4929,466336,31068,0.9076,2.56,-0.0199,2019-Q%q,COHORTCOMP
2032,68676508,10-14,X,ST,1878180,1963878,1772427,2107239,50592,23134,9465,-2752,408017,49280,0.8852,2.2,-0.0072,2023-Q%q,CENSUS_ADJ
2022,11389394,70-74,M,ST,964426,1011956,943343,1123834,4203,23240,49795,8363,326630,9829,0.8822,2.88,0.018,2020-Q%q,BAYES
2031,22064756,15-19,M,Other,1574697,1649513,1517337,1823206,76750,44071,-27541,92,431726,15010,0.9704,1.27,0.0402,2020-Q%q,BAYES
2026,83351188,45-49,M,OBC,1434124,1722845,1632107,1862554,66821,38070,8290,-317,134702,7111,0.909,2.31,0.0126,2018-Q%q,CENSUS_ADJ
2036,25244087,45-49,X,ST,1308929,1390880,1285505,1539938,40379,12771,-30652,-7459,310685,45679,0.9375,2.46,0.0191,2026-Q%q,CENSUS_ADJ
2036,42456921,55-59,F,SC,1638201,1552581,1413896,1641598,15993,49415,46082,-3121,535453,29714,0.9832,1.49,0.0421,2024-Q%q,CENSUS_ADJ
2034,10120723,30-34,M,General,765822,788026,717314,850127,1771,59658,16842,-2425,537486,39111,0.9637,1.93,-0.0038,2022-Q%q,HYBRID
2041,44353791,30-34,F,ST,1178841,1049378,916692,1131097,14352,59188,26658,1337,130606,21906,0.9211,3.4,0.0246,2025-Q%q,COHORTCOMP
2033,78516528,65-69,X,OBC,634201,571370,532163,628017,43533,48317,-27614,5802,363814,17977,0.926,1.85,0.0224,2022-Q%q,BAYES
2040,26406508,65-69,X,Other,1825170,1670301,1549106,1872389,14516,31085,-26578,-3803,567856,2608,0.9197,2.86,0.0093,2025-Q%q,HYBRID
2033,87200128,30-34,M,OBC,1148632,1325978,1203480,1413823,49471,9537,48766,-6331,187004,26619,0.9099,3.55,0.008,2024-Q%q,CENSUS_ADJ
2024,33714201,30-34,M,Other,148634,167919,155109,181474,65204,23856,-2955,8349,535908,12995,0.9541,3.0,-0.0022,2018-Q%q,COHORTCOMP
2030,31104165,75-79,X,General,39470,48444,44693,52361,4778,40064,-46465,-5498,545323,25559,0.9783,1.32,-0.0137,2025-Q%q,COHORTCOMP
2027,33419498,35-39,X,ST,142030,153232,145729,161252,60231,4966,-42028,2137,468143,39335,0.9677,2.24,-0.0061,2021-Q%q,COHORTCOMP
2023,63704221,00-04,F,General,600896,709488,666083,762938,38213,58777,14551,-848,289620,35228,0.9052,1.41,0.0304,2021-Q%q,CENSUS_ADJ
2036,40601672,85+,F,OBC,398196,348218,313340,393610,72455,6610,12852,-6569,347869,46401,0.9841,2.04,0.0257,2020-Q%q,COHORTCOMP
2024,78263660,80-84,F,Other,1358572,1236879,1110032,1375958,11547,58731,43046,372,351742,23759,0.9383,2.01,0.0008,2024-Q%q,CENSUS_ADJ
2039,32447869,20-24,M,SC,604942,519219,471906,551632,65652,34440,-32157,3917,527065,24604,0.957,2.37,0.0025,2018-Q%q,TREND
2032,39419661,05-09,M,OBC,1474820,1792664,1635498,1867307,6366,27684,8127,8359,95001,39025,0.984,1.51,0.0248,2026-Q%q,BAYES
2034,59934129,40-44,X,ST,1610364,1925333,1819488,2050877,72198,20733,35157,2792,360754,32994,0.9617,2.17,-0.0194,2022-Q%q,HYBRID
2028,61069546,70-74,X,General,1898034,1886088,1703006,2063351,13413,26615,-45503,-3434,445019,35593,0.9941,1.69,0.0254,2023-Q%q,BAYES
2034,62627746,35-39,F,OBC,1954374,2289822,2093649,2444310,5428,42189,38404,1024,514031,8055,0.9827,1.79,0.002,2019-Q%q,CENSUS_ADJ
2031,62265034,60-64,M,General,423619,408143,364170,450531,27648,55951,-22130,4688,505828,36200,0.9254,3.47,-0.0076,2020-Q%q,BAYES
2034,49181125,70-74,F,Other,1860016,1726247,1581219,1943354,61062,48303,-24984,-82,409844,29469,0.9619,2.55,0.022,2024-Q%q,BAYES
2038,65113985,50-54,M,Other,176852,180190,170437,191509,60498,51425,15733,4389,192767,21111,0.896,1.5,0.0144,2022-Q%q,TREND
2025,50214890,25-29,M,General,1203397,1064857,936161,1195443,6428,40242,-35743,-361,286665,22488,0.9562,3.47,-0.019,2022-Q%q,TREND
2024,76299319,85+,M,SC,1927743,2024636,1917673,2171128,9089,53738,-42419,-5363,64393,41971,0.9039,2.25,0.007,2020-Q%q,TREND
2034,35236852,60-64,M,OBC,1245158,1276777,1200787,1365641,51660,9971,-18171,5790,317711,8474,0.9651,2.24,-0.0148,2018-Q%q,CENSUS_ADJ
2036,52898853,05-09,X,OBC,602165,609034,537573,645609,24950,42564,23586,-7006,304537,16546,0.9219,3.77,0.0069,2018-Q%q,HYBRID
2023,66233284,25-29,X,General,588588,559982,490130,591586,48214,17344,-26896,-6639,332986,27684,0.9314,3.5,0.0377,2024-Q%q,BAYES
2035,67668859,60-64,X,General,99054,115696,104507,123557,75227,45344,-35530,11,520893,8969,0.9924,1.42,0.0145,2021-Q%q,TREND
2022,78174057,10-14,M,OBC,106782,118127,112368,128442,61677,55341,32005,-2478,116841,24673,0.9189,2.45,0.012,2024-Q%q,CENSUS_ADJ
2021,14583678,40-44,M,Other,984975,988568,895173,1094890,36769,23234,-24427,-5561,111753,19537,0.9932,2.77,0.0458,2022-Q%q,CENSUS_ADJ
2029,57501931,70-74,X,OBC,1732097,2140589,1969263,2289972,65457,31981,3885,2859,206189,5319,0.9231,1.78,0.0371,2021-Q%q,CENSUS_ADJ
2039,35995061,70-74,F,OBC,1161817,1247054,1154517,1354140,49589,48050,17379,-6392,228642,23870,0.9166,2.86,0.0097,2022-Q%q,CENSUS_ADJ
2037,71846314,45-49,F,Other,361000,440257,407479,479382,75891,58131,2,-3709,297164,47796,0.9143,3.78,-0.0156,2018-Q%q,BAYES
2039,63840583,25-29,M,ST,1186345,1287372,1178143,1384828,71510,10937,19894,2591,177001,14737,0.9943,3.48,0.0059,2018-Q%q,CENSUS_ADJ
2041,58435616,00-04,X,OBC,542068,535668,488659,570593,67245,22718,27778,-8110,232035,37782,0.8856,1.21,0.0069,2021-Q%q,HYBRID
2036,16851922,20-24,M,SC,1602661,1929420,1836560,2082352,39565,6488,48606,1563,228708,47311,0.8862,2.36,-0.0036,2022-Q%q,HYBRID
2033,71514251,05-09,F,General,810249,710771,649420,756881,58465,38674,-3564,787,389575,40032,0.9281,2.44,-0.0134,2026-Q%q,CENSUS_ADJ
2036,31581208,20-24,F,Other,410411,455629,431440,499180,50186,9731,-25653,-8203,157636,35106,0.9274,3.49,-0.0043,2020-Q%q,TREND
2034,58845219,45-49,M,Other,1026523,1091177,993815,1149511,30263,28001,-32396,-3530,353079,10860,0.8899,2.75,-0.0017,2021-Q%q,CENSUS_ADJ
2025,20594955,50-54,X,OBC,699712,830083,788391,903573,70082,17924,11375,-128,207800,14450,0.9683,3.46,0.025,2019-Q%q,COHORTCOMP
2030,76837396,25-29,F,General,1916243,2233238,2112485,2355212,13938,56713,-17072,4414,73172,42951,0.8881,1.99,0.0155,2023-Q%q,TREND
2027,51528773,30-34,X,General,856599,1044282,952818,1110365,48170,16042,-33245,8715,303832,44025,0.9441,1.74,0.0094,2023-Q%q,TREND
2024,93793710,05-09,M,Other,1770713,2093295,1890074,2243922,12344,36382,7743,6038,295845,46065,0.8871,2.37,0.0127,2018-Q%q,BAYES
2024,30347543,55-59,M,SC,1355405,1340843,1247495,1426393,32837,25109,11133,-1567,570966,13589,0.9297,1.44,0.0325,2022-Q%q,CENSUS_ADJ
2028,49636747,80-84,F,ST,288361,322251,289495,345854,44296,30027,12226,-9312,391992,38969,0.9873,1.46,0.0329,2019-Q%q,HYBRID
2023,95815186,25-29,X,General,674337,749887,715471,817241,35261,22183,198,7288,510413,21861,0.9015,3.52,0.042,2025-Q%q,BAYES
2029,24679116,75-79,F,Other,1461046,1750276,1626764,1852534,14896,30485,26710,5598,171317,6875,0.9417,2.29,0.0173,2021-Q%q,COHORTCOMP
2034,69964742,65-69,F,SC,1219644,1359337,1283973,1464478,79303,5291,49216,-1932,364563,1953,0.9197,3.75,0.0131,2022-Q%q,TREND
2036,87974996,85+,M,OBC,24388,22201,19399,24976,76169,30169,-6194,5088,394139,6377,0.9631,2.53,0.0317,2021-Q%q,HYBRID
2026,30115391,40-44,M,General,649776,780540,728983,851377,15469,12377,-18103,-5910,115420,40177,0.9401,1.29,0.0246,2018-Q%q,CENSUS_ADJ
2037,86530309,40-44,M,ST,267707,271593,255508,289608,59396,4490,-46506,-5357,273304,5034,0.9588,1.29,0.0113,2022-Q%q,BAYES
2028,33745862,50-54,X,General,1182997,1452854,1345593,1586092,35383,58762,-26115,-5009,9025,15697,0.889,2.47,-0.019,2025-Q%q,BAYES
2024,46127164,75-79,X,OBC,1286064,1204589,1096666,1277723,77199,4801,46804,-9974,299933,955,0.9012,2.6,0.0168,2021-Q%q,BAYES
2021,79639846,15-19,F,Other,1710086,2020834,1904662,2194564,73635,39560,-13705,6638,102620,17524,0.9799,3.26,0.0368,2021-Q%q,COHORTCOMP
2034,84910837,20-24,M,General,1793265,1938029,1798867,2092898,20103,1111,-34142,6247,345595,39347,0.9757,2.81,-0.0095,2019-Q%q,TREND
2038,73796587,05-09,X,OBC,1632146,1485385,1340990,1598226,70777,20504,-28787,4451,322007,49391,0.9586,1.29,-0.0172,2025-Q%q,HYBRID
2039,44612802,20-24,F,ST,1189039,1349051,1274097,1417165,57105,11129,-42286,8337,548377,12961,0.8949,1.29,-0.0057,2025-Q%q,TREND
2025,48572306,65-69,M,ST,1938041,1665301,1480795,1776967,43249,28422,15528,-6469,425316,41129,0.9303,3.59,0.0202,2022-Q%q,CENSUS_ADJ
2041,76404192,30-34,X,OBC,907600,1002512,939125,1068519,39970,50398,40308,8268,381522,45379,0.8931,1.37,0.0093,2020-Q%q,TREND
2023,38017721,30-34,X,Other,623534,622480,581496,665168,15146,11820,38207,-9371,418050,31109,0.9322,2.35,0.0062,2025-Q%q,HYBRID
2038,66312971,75-79,F,SC,1248441,1126161,1063509,1262567,54729,56034,-12280,6543,441906,20179,0.8934,3.41,0.0268,2025-Q%q,COHORTCOMP
2023,97503444,55-59,F,SC,1869334,2291885,2112138,2445070,8826,30325,49570,-4794,223504,33128,0.9649,2.11,0.0331,2024-Q%q,BAYES
2038,54998607,60-64,M,General,1959161,2155883,1934387,2376432,47284,19575,-21377,-8658,599855,14756,0.8844,1.92,-0.0115,2025-Q%q,BAYES
2022,83499099,15-19,X,ST,1125785,1280118,1200192,1374974,18353,3312,-4087,-5526,212552,14990,0.9511,1.23,0.0335,2022-Q%q,TREND
2027,69455531,30-34,M,General,1753120,1768100,1614510,1915447,34927,6493,20421,6176,192615,21696,0.9528,2.38,0.0194,2022-Q%q,HYBRID
2024,19396460,05-09,F,General,1703473,2109481,2022463,2216988,12338,24336,-19688,-330,2446,29724,0.9292,2.12,-0.0005,2022-Q%q,COHORTCOMP
2037,48839940,20-24,X,ST,416880,475151,441062,503452,33910,49747,-15532,1876,33559,21698,0.9525,2.85,-0.0071,2018-Q%q,BAYES
2034,28123999,70-74,X,SC,958534,907151,804466,993643,51790,39759,32640,6650,574540,26126,0.9788,1.85,-0.0135,2020-Q%q,BAYES
2026,32131904,50-54,F,OBC,1717106,2141759,1964301,2299030,26664,21256,-26535,1460,107933,47866,0.8949,1.34,0.0108,2021-Q%q,HYBRID
2030,47708243,60-64,F,SC,1458659,1369679,1230943,1493035,16641,50847,23124,7977,489429,3119,0.9197,2.39,0.0331,2023-Q%q,COHORTCOMP
2030,77472423,35-39,F,SC,47226,47573,43609,51760,39999,4208,28723,4509,300696,26548,0.9193,2.81,0.0368,2018-Q%q,BAYES
2023,12846776,15-19,M,General,394590,381223,349884,402645,3022,12076,16361,-5410,375137,2975,0.893,1.86,0.0364,2019-Q%q,BAYES
2024,44416075,75-79,F,Other,1076492,944077,838120,1070463,32351,21247,-36345,-4945,333016,1902,0.9711,2.92,0.0435,2021-Q%q,HYBRID
2029,57078576,85+,F,ST,261561,258910,233635,288857,41904,35051,-44792,9804,104760,20778,0.9927,3.25,0.0395,2020-Q%q,BAYES
2024,79328110,40-44,M,General,1795986,1918548,1782543,2047502,27817,8794,-19253,552,408148,27061,0.9209,1.34,-0.0141,2024-Q%q,TREND
2021,78888528,25-29,X,General,1258641,1206398,1097861,1296824,44847,20760,-27232,-7616,464186,21977,0.9653,3.37,-0.0007,2022-Q%q,BAYES
2040,20136488,40-44,X,ST,1385897,1575104,1492905,1651623,22383,51815,15604,706,103049,25124,0.9434,2.74,0.027,2026-Q%q,COHORTCOMP
2029,13003324,80-84,M,General,1927192,2098300,1969284,2225429,45759,41225,49626,6375,193548,23199,0.9034,3.23,-0.003,2020-Q%q,BAYES
2039,14532124,70-74,M,SC,1869089,2071996,1924976,2250871,30564,47108,47605,89,106289,38959,0.9653,1.64,0.0289,2018-Q%q,HYBRID
2025,65740350,35-39,M,ST,1755955,1528478,1415532,1701736,12451,34220,-20087,7904,545673,29798,0.9385,3.79,0.0101,2020-Q%q,TREND
2024,43068157,75-79,X,SC,1900827,1657416,1531291,1796431,61251,14111,-48582,-8791,295650,36148,0.9421,2.88,0.0141,2021-Q%q,TREND
2037,98575599,50-54,X,ST,186663,214181,204155,229653,38700,873,34702,-1646,299857,13091,0.9936,3.66,-0.0186,2023-Q%q,COHORTCOMP
2028,90171756,70-74,X,ST,37389,45516,41881,47501,76538,7650,-3929,1802,213029,20496,0.9402,1.62,0.0433,2019-Q%q,CENSUS_ADJ
2023,34574175,85+,F,General,969178,1149114,1053140,1205309,43569,59880,-21097,5840,354106,21363,0.9607,1.21,0.0294,2018-Q%q,TREND
2037,85048181,50-54,X,OBC,1342012,1331057,1189836,1442566,357,19398,24975,-7775,64490,25691,0.8945,2.23,-0.0079,2020-Q%q,COHORTCOMP
2034,32571025,25-29,F,SC,649580,657513,613981,690929,62930,57831,5705,3216,593354,28712,0.9935,2.84,0.0242,2019-Q%q,COHORTCOMP
2027,80278901,35-39,X,ST,209081,230198,213312,245995,70871,57821,-660,6251,571891,35437,0.9541,3.63,-0.0126,2022-Q%q,TREND
2024,74819805,45-49,F,OBC,1916605,2049081,1883388,2215021,21603,44336,45496,-9526,319414,48553,0.8989,2.79,0.0125,2019-Q%q,HYBRID
2030,50205920,35-39,M,OBC,55832,62605,59490,65922,56884,54902,-14447,9505,498692,45810,0.9525,3.45,-0.0082,2024-Q%q,HYBRID
2038,73394972,50-54,M,General,1627425,1808462,1693598,1911773,35655,8301,-23556,2320,135322,15349,0.9038,2.52,-0.0066,2025-Q%q,HYBRID
2035,43549026,35-39,F,ST,1792393,2011402,1902296,2116931,4719,15953,-18283,-5399,50413,35484,0.8886,2.13,0.0048,2023-Q%q,COHORTCOMP
2038,59046775,70-74,F,Other,779989,732086,679257,819228,28741,51305,-44713,4214,155587,13782,0.9442,3.73,0.004,2024-Q%q,TREND
2023,73243922,05-09,X,Other,714980,790898,705233,846451,5938,6024,20991,2711,179419,10871,0.9017,1.56,0.0166,2020-Q%q,COHORTCOMP
2039,69862376,60-64,X,ST,1383323,1188021,1076874,1280760,24509,49026,-9070,3018,410831,46219,0.8999,1.67,0.0428,2019-Q%q,CENSUS_ADJ
2036,71319690,60-64,M,ST,1370415,1681436,1547405,1829150,4470,22635,21439,-7373,537705,7463,0.9742,3.23,0.0022,2019-Q%q,TREND
2040,85244013,40-44,F,OBC,682975,626004,580897,703527,14919,16655,-37617,8908,187340,11922,0.9672,2.43,-0.0005,2025-Q%q,HYBRID
2030,20807279,20-24,M,ST,866077,1075578,980139,1133522,2709,1152,-34196,959,523840,16848,0.8989,1.42,0.0359,2024-Q%q,TREND
2041,90901218,55-59,X,Other,310857,324956,301716,362167,25009,19475,46861,1845,338233,11765,0.9525,2.31,0.0034,2018-Q%q,HYBRID
2024,68601615,30-34,F,General,1505768,1764792,1617627,1871995,64848,8395,21018,-4612,540881,11095,0.9557,1.49,0.0084,2018-Q%q,BAYES
2032,52502583,30-34,X,SC,1992815,2197807,2035273,2331116,27550,15445,-25098,4036,7355,16051,0.9295,1.57,0.0348,2018-Q%q,BAYES
2030,44778679,35-39,M,ST,1712088,1587511,1498200,1772185,64511,45506,-39061,-134,321832,11629,0.9239,3.78,-0.0065,2023-Q%q,TREND
2028,35445545,15-19,F,SC,248958,305349,292217,321333,557,7738,-4589,9491,145465,22271,0.9542,3.73,0.0193,2019-Q%q,HYBRID
2039,81189112,65-69,M,General,1620309,1749354,1599705,1939981,42460,23823,45152,2502,122623,769,0.9478,2.71,0.041,2024-Q%q,TREND
2037,37706319,30-34,M,Other,1930793,1978679,1874023,2142594,24985,6565,-20568,710,270364,1920,0.9599,1.22,0.0273,2023-Q%q,HYBRID
2040,71897200,05-09,F,Other,1028109,1277963,1192991,1343687,7728,31039,-4310,-3529,427103,14428,0.9612,3.12,-0.0096,2025-Q%q,HYBRID
2024,10114005,75-79,F,OBC,599223,526719,456929,571613,36042,40256,-21342,6464,188783,21840,0.9362,1.9,0.0441,2025-Q%q,HYBRID
2029,15974002,35-39,F,Other,1301875,1385263,1307487,1457986,7440,40715,2856,8161,132151,39371,0.8829,3.07,0.0188,2025-Q%q,CENSUS_ADJ
2032,23161739,85+,X,General,882781,1016131,928220,1115797,45024,21376,26478,5096,141611,9279,0.951,2.55,0.0242,2018-Q%q,COHORTCOMP
2027,62767087,25-29,M,Other,80539,69641,64903,74369,12065,20433,41240,-5014,261487,2742,0.8829,1.85,0.0171,2021-Q%q,TREND
2032,21596139,60-64,F,SC,487891,418598,386648,471662,18205,58090,37893,8015,164730,4107,0.9872,3.0,0.0234,2020-Q%q,TREND
2027,16969519,35-39,X,General,1749456,2085726,1890253,2283441,76869,3365,-48897,-5678,385199,29491,0.9677,2.14,0.0479,2018-Q%q,HYBRID
2023,99910752,40-44,X,General,833340,998329,902191,1058880,18987,10078,-11207,1460,423118,45846,0.9355,1.46,0.0499,2024-Q%q,HYBRID
2026,78640086,10-14,F,Other,1718612,1737417,1618234,1842757,32543,17516,-2931,-3484,413404,1093,0.9359,2.97,0.0314,2018-Q%q,BAYES
2024,17593651,25-29,M,General,715772,846297,764168,902827,36812,51846,-34806,9351,276220,39059,0.9549,2.95,0.0101,2018-Q%q,TREND
2022,79116386,15-19,M,SC,268835,236928,213782,263353,36833,20337,19836,9887,144263,13422,0.8885,3.51,0.0019,2018-Q%q,COHORTCOMP
2029,74543979,35-39,X,OBC,949055,927684,837814,1016680,39785,56888,4822,912,143517,14141,0.9519,1.43,0.0308,2023-Q%q,TREND
2022,67873452,45-49,F,SC,1196855,1373255,1250577,1452201,46619,22819,-637,9562,418335,13461,0.9538,2.2,0.0071,2024-Q%q,CENSUS_ADJ
2036,24349433,40-44,X,ST,1516202,1674542,1555331,1783594,61175,11848,-19733,-239,82574,34466,0.8884,1.66,0.0467,2024-Q%q,CENSUS_ADJ
2030,76292347,45-49,X,Other,1029323,1233452,1119910,1294367,58212,3290,-8675,-5983,509453,45306,0.9682,2.18,0.0306,2020-Q%q,COHORTCOMP
2027,84623451,20-24,X,OBC,248194,238407,224243,261746,7805,26113,15243,4683,158829,20055,0.9297,2.93,0.023,2018-Q%q,COHORTCOMP
2025,20263855,85+,X,SC,297532,330294,309316,346222,56860,24194,-2582,-9576,73592,26332,0.9008,1.46,0.0303,2026-Q%q,HYBRID
2034,70207610,45-49,X,General,1664342,2045531,1859497,2211616,58764,50336,-35143,-5388,278598,30003,0.9677,3.71,-0.0141,2023-Q%q,CENSUS_ADJ
2024,93506168,50-54,M,SC,1906764,2021239,1853391,2243047,74026,15828,45464,4373,90452,20113,0.9601,3.42,-0.019,2025-Q%q,CENSUS_ADJ
2022,61867265,00-04,X,OBC,1301181,1197274,1101885,1344119,40413,2173,45928,6260,134787,10402,0.8883,1.64,0.0013,2022-Q%q,COHORTCOMP
2030,47062610,10-14,F,SC,425258,375435,335973,426112,69999,59063,-1326,3017,241786,24643,0.959,1.97,0.0323,2025-Q%q,COHORTCOMP
2026,50285111,85+,M,General,1536054,1493437,1347409,1647012,77658,6866,25254,3915,251783,41522,0.9636,2.52,-0.0067,2019-Q%q,TREND
