civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000000180,2024,37,JUDICIAL,284460,-7.937,210502,171609,85.01,0.7437,0.1588,1,7,76,1,0.4582,2.669,94.54,24798,0
PLAN000000181,1992,21,STATE_SENATE,870363,-7.361,696037,595596,35.9,0.4401,0.7491,1,3,79,0,0.5652,30.744,72.56,12900,0
PLAN000000182,1996,20,STATE_HOUSE,74821,7.875,52206,48686,61.65,0.3713,0.288,1,20,54,0,0.9298,-19.109,98.51,16161,0
PLAN000000183,2020,30,CITY,874432,0.201,619719,553798,63.45,0.3028,0.212,1,9,41,0,0.1564,-0.16,24.5,16472,1
PLAN000000184,1991,30,STATE_HOUSE,105808,7.638,80821,66569,82.34,0.6611,0.0405,1,8,39,0,0.6418,18.36,45.88,2861,0
PLAN000000185,1991,24,SCHOOL,27886,6.931,20332,17454,89.09,0.319,0.8361,0,14,10,0,0.0336,-24.053,86.23,8385,0
PLAN000000186,2013,31,STATE_HOUSE,392878,-3.375,274911,224307,19.65,0.7047,0.7358,1,12,22,0,0.6231,-5.576,55.76,15474,0
PLAN000000187,2001,37,STATE_SENATE,729625,-4.978,503867,445704,38.99,0.5347,0.0253,1,4,25,0,0.8714,-8.173,39.94,8175,0
PLAN000000188,2016,7,SCHOOL,93099,-6.924,66925,61620,8.56,0.3096,0.1522,1,5,14,0,0.2731,26.415,61.42,8420,1
PLAN000000189,2010,55,STATE_SENATE,267767,7.239,196215,183460,77.02,0.4124,0.4758,1,20,27,0,0.5827,-37.227,84.18,8182,0
PLAN000000190,2022,46,CITY,130842,-5.357,96361,87293,73.41,0.4779,0.2863,0,9,25,1,0.7371,21.192,35.73,20285,1
PLAN000000191,1996,44,SCHOOL,277421,-0.587,202249,190073,57.14,0.6312,0.1711,1,1,4,1,0.277,14.361,10.38,9483,0
PLAN000000192,2013,10,CITY,515405,1.763,371452,300017,75.18,0.4368,0.7791,1,13,67,0,0.5235,16.977,76.51,9708,0
PLAN000000193,2025,9,CONGRESSIONAL,261565,-5.437,196216,180162,80.01,0.6904,0.1744,1,16,33,0,0.3662,-31.832,20.4,19816,0
PLAN000000194,2004,35,STATE_SENATE,259998,6.891,202149,181836,88.77,0.4028,0.1536,1,9,46,0,0.3576,17.783,41.17,15463,0
PLAN000000195,2017,47,SCHOOL,945734,-2.855,666415,520245,45.58,0.3033,0.6254,1,0,62,1,0.5084,-28.919,49.9,851,0
PLAN000000196,2009,14,CITY,779110,-2.111,607621,508241,32.12,0.2378,0.1635,1,9,57,0,0.6441,-23.284,48.57,14116,0
PLAN000000197,2011,44,JUDICIAL,581921,-2.061,425579,400526,27.71,0.7125,0.2777,1,20,14,0,0.1312,-20.834,96.51,1598,0
PLAN000000198,2019,46,SCHOOL,173728,-0.27,120226,102218,35.42,0.388,0.4452,1,2,63,1,0.6295,30.211,97.78,14878,0
PLAN000000199,2016,59,STATE_SENATE,198275,-2.517,141989,135441,26.22,0.232,0.8413,0,3,73,0,0.7247,32.909,78.97,15784,1
PLAN000000200,1993,24,JUDICIAL,294654,6.292,206119,172328,85.92,0.4415,0.0296,1,20,11,0,0.8706,-7.733,37.76,20868,0
PLAN000000201,2003,49,SCHOOL,263063,-5.683,192528,170256,5.12,0.3611,0.0677,1,17,67,0,0.5705,14.539,74.29,22882,0
PLAN000000202,2014,3,STATE_HOUSE,81929,4.908,59357,49931,64.01,0.3893,0.4753,1,13,38,1,0.9041,-32.137,25.45,24256,0
PLAN000000203,2022,10,SCHOOL,538533,-5.85,395613,370888,89.99,0.4497,0.8096,1,3,1,1,0.47,37.928,58.53,22981,0
PLAN000000204,2008,48,STATE_HOUSE,413573,0.404,331358,277104,66.99,0.1054,0.3237,1,19,0,1,0.5715,9.563,59.94,4822,0
PLAN000000205,2011,5,JUDICIAL,84657,6.262,69266,66107,4.35,0.3736,0.8323,0,12,17,0,0.3154,28.444,9.61,8872,0
PLAN000000206,2007,43,CITY,695255,7.938,549156,477097,91.57,0.7336,0.1997,1,16,50,0,0.8927,-35.01,79.2,5717,1
PLAN000000207,1991,6,JUDICIAL,853572,0.534,616585,576874,92.82,0.6358,0.2279,1,14,18,0,0.6018,-6.041,25.86,8963,0
PLAN000000208,2008,52,STATE_HOUSE,883249,-6.845,606624,510427,30.95,0.1939,0.6317,1,18,59,0,0.8107,15.746,13.71,13580,0
PLAN000000209,2004,49,STATE_SENATE,526172,4.24,416066,371587,94.65,0.647,0.2461,1,20,10,0,0.7248,25.726,72.99,15463,1
PLAN000000210,2011,39,CONGRESSIONAL,465726,-5.109,329219,293943,84.57,0.1324,0.3657,1,14,1,0,0.513,-34.852,48.23,3164,0
PLAN000000211,2015,13,JUDICIAL,801383,3.085,563799,510022,9.41,0.0607,0.1218,1,19,13,1,0.0109,7.37,66.8,12612,0
PLAN000000212,2023,16,STATE_HOUSE,67019,2.491,50051,41417,62.8,0.6524,0.602,1,18,17,1,0.4114,13.537,40.46,7022,0
PLAN000000213,2002,8,STATE_SENATE,914797,-3.236,650771,559686,71.29,0.7135,0.609,1,1,78,0,0.6299,2.099,51.04,9223,0
PLAN000000214,2009,30,STATE_HOUSE,713761,7.916,581313,490280,51.57,0.0767,0.126,1,15,6,0,0.633,-22.074,22.86,15346,0
PLAN000000215,1991,43,STATE_SENATE,359026,-6.757,257368,208704,26.69,0.3478,0.4128,1,10,6,1,0.0721,-17.301,7.14,13006,1
PLAN000000216,2015,8,SCHOOL,240192,-0.182,195987,159143,77.99,0.2932,0.5131,1,16,44,0,0.4024,37.022,58.74,22225,0
PLAN000000217,2025,49,STATE_HOUSE,601931,-1.496,437889,371092,35.4,0.7398,0.3239,1,13,21,0,0.9032,-15.776,47.12,21977,0
PLAN000000218,2004,18,JUDICIAL,21564,-5.385,16056,14993,88.92,0.1133,0.0989,1,18,12,0,0.945,-9.152,70.17,10114,0
PLAN000000219,2015,7,SCHOOL,161692,6.425,129577,122225,87.08,0.3859,0.5894,1,4,54,0,0.7993,20.092,98.77,24994,0
PLAN000000220,2003,2,SCHOOL,548377,-7.783,391029,362305,33.17,0.1609,0.3731,1,1,77,0,0.7901,-34.684,76.09,13913,1
PLAN000000221,2023,17,STATE_HOUSE,232888,-1.24,176972,152001,47.62,0.5867,0.7316,1,11,52,1,0.1764,12.753,97.38,6226,0
PLAN000000222,1996,31,STATE_HOUSE,848823,-3.862,626634,561820,59.38,0.4106,0.7372,1,5,57,0,0.5152,-25.769,72.27,2203,0
PLAN000000223,1999,16,SCHOOL,388362,5.004,301077,285666,78.98,0.2854,0.4928,1,10,47,0,0.4797,-29.071,68.45,24215,0
PLAN000000224,2008,57,JUDICIAL,80502,-2.814,57922,46212,44.57,0.3184,0.6513,1,12,6,0,0.9338,17.003,48.69,7375,0
PLAN000000225,1999,44,SCHOOL,268201,-1.041,212973,195718,89.95,0.1918,0.804,1,8,26,0,0.1233,-31.621,88.12,20129,0
PLAN000000226,1993,24,STATE_SENATE,217232,7.129,154764,122689,1.95,0.671,0.4266,1,14,45,0,0.4748,16.177,88.64,16064,0
PLAN000000227,2010,58,CITY,121610,4.518,97669,77704,41.1,0.0774,0.1159,1,3,5,0,0.4812,32.014,80.21,375,0
PLAN000000228,2007,45,STATE_HOUSE,814740,-5.352,631127,530889,82.72,0.7351,0.6434,1,0,13,0,0.7004,14.502,24.22,15430,0
PLAN000000229,2013,21,CONGRESSIONAL,84942,0.822,68044,63413,22.49,0.7638,0.5673,1,10,69,0,0.906,22.536,76.55,7592,0
PLAN000000230,1993,54,STATE_HOUSE,792599,-5.128,621708,567374,11.08,0.64,0.7178,1,0,42,0,0.1824,-30.512,94.83,14460,0
PLAN000000231,1990,35,STATE_HOUSE,91433,-6.084,71454,66434,51.48,0.4854,0.0409,1,6,12,0,0.6191,11.0,5.49,17850,0
PLAN000000232,1997,6,CITY,888893,-6.117,701042,654369,78.3,0.1552,0.1053,1,4,24,0,0.8644,4.336,15.4,4968,0
PLAN000000233,2024,6,SCHOOL,679446,7.715,464224,402667,50.9,0.4624,0.3025,1,19,4,1,0.2648,4.137,68.67,23771,0
PLAN000000234,2015,11,CONGRESSIONAL,23889,-4.091,17888,16005,84.38,0.652,0.8197,1,0,19,1,0.3932,-23.953,14.02,19894,0
PLAN000000235,2020,16,STATE_HOUSE,444228,-5.114,353017,288389,11.81,0.0608,0.6431,1,1,3,0,0.6996,37.485,68.97,10715,0
PLAN000000236,2001,28,JUDICIAL,171140,-5.113,127491,105319,82.56,0.5025,0.6988,1,3,46,0,0.3751,-30.802,97.51,6290,1
PLAN000000237,1997,22,STATE_HOUSE,466922,3.672,344110,294879,75.23,0.7184,0.4331,1,18,63,0,0.6466,3.402,27.14,692,0
PLAN000000238,1999,35,CONGRESSIONAL,45882,3.748,37323,32749,84.42,0.238,0.6845,1,20,69,0,0.054,30.85,30.27,22465,0
PLAN000000239,2024,35,CONGRESSIONAL,360431,1.682,261677,233745,91.43,0.2699,0.384,1,11,49,1,0.5323,-37.318,28.4,5266,0
PLAN000000240,2010,17,CONGRESSIONAL,208246,5.752,142094,131631,67.41,0.1489,0.4213,1,12,38,0,0.0247,-33.523,77.68,24805,0
PLAN000000241,2023,24,JUDICIAL,308551,3.693,235736,221905,83.39,0.033,0.345,1,15,49,0,0.4299,4.636,47.38,12226,0
PLAN000000242,1995,45,JUDICIAL,227357,5.212,169820,136073,26.46,0.7437,0.0817,1,1,40,1,0.1146,15.14,3.11,15501,0
PLAN000000243,2005,26,CITY,806698,-0.068,622007,518362,61.34,0.7264,0.7232,1,9,7,0,0.3615,-1.912,88.22,20200,0
PLAN000000244,2006,17,STATE_HOUSE,884753,5.707,708690,557789,16.32,0.0632,0.0809,1,16,40,0,0.7178,30.792,2.16,22795,0
PLAN000000245,2006,47,STATE_SENATE,431938,-4.113,324282,262372,16.78,0.3768,0.0589,1,3,79,0,0.1664,37.088,91.58,3342,0
PLAN000000246,2006,40,STATE_SENATE,536725,3.142,377122,299434,43.81,0.0781,0.8021,0,20,38,0,0.7375,-28.015,94.42,11034,0
PLAN000000247,1997,32,STATE_SENATE,780099,-3.299,563440,460141,20.1,0.6689,0.29,1,3,36,0,0.2468,-23.904,56.01,11901,0
PLAN000000248,2013,13,CONGRESSIONAL,353331,7.364,284769,243618,2.11,0.2154,0.426,1,15,49,0,0.8357,-12.318,94.58,6581,0
PLAN000000249,2001,29,STATE_SENATE,455743,-6.447,367904,321913,62.19,0.6342,0.7164,1,17,9,0,0.3289,14.156,18.37,3539,1
PLAN000000250,2022,59,STATE_HOUSE,323591,0.392,250685,204672,20.21,0.2171,0.0244,1,2,35,1,0.4393,-11.348,78.55,19499,0
PLAN000000251,2008,47,CONGRESSIONAL,458446,-1.706,349285,311123,16.92,0.1823,0.7908,1,11,25,0,0.664,8.982,97.97,2965,0
PLAN000000252,1994,57,CITY,676595,-1.901,472324,430018,52.07,0.4891,0.212,1,20,75,0,0.5224,-36.751,51.31,24237,0
PLAN000000253,2024,9,STATE_HOUSE,321268,-5.449,219783,210777,15.2,0.3077,0.8434,1,5,64,0,0.8364,-18.245,95.47,5783,1
PLAN000000254,2000,58,SCHOOL,625471,2.932,497067,477070,42.44,0.3199,0.1181,1,9,66,1,0.0252,-34.481,24.16,13092,0
PLAN000000255,2012,11,CONGRESSIONAL,795374,4.574,566931,476905,10.99,0.4329,0.4708,1,18,32,0,0.59,3.161,30.39,2390,0
PLAN000000256,2002,5,CITY,712591,4.112,522914,489003,10.01,0.5189,0.2245,1,20,50,0,0.5253,-16.671,33.98,11847,0
PLAN000000257,2025,5,STATE_HOUSE,15559,6.182,11449,10926,45.93,0.1307,0.6824,1,10,56,1,0.4038,18.038,94.05,19243,0
PLAN000000258,2010,25,STATE_SENATE,254585,2.021,183064,155860,52.07,0.069,0.3867,1,1,24,1,0.1369,-33.332,92.58,4607,0
PLAN000000259,2000,52,STATE_SENATE,527580,-0.887,414849,357279,78.98,0.1344,0.3126,1,15,70,0,0.725,-21.29,27.37,21406,0
PLAN000000260,2015,25,STATE_SENATE,45953,-2.88,32408,27304,73.79,0.6678,0.4517,1,17,23,1,0.0569,-22.611,37.54,11235,1
PLAN000000261,2016,44,STATE_SENATE,303799,-5.405,247164,215627,76.01,0.3114,0.7482,1,14,36,0,0.6541,-31.814,95.67,15423,0
PLAN000000262,2009,44,CITY,555758,7.661,402355,330038,56.76,0.4425,0.0653,1,19,11,0,0.5832,-7.784,28.13,7533,0
PLAN000000263,2008,12,SCHOOL,896368,-2.378,677458,644407,17.25,0.2098,0.7548,1,16,8,0,0.682,-10.45,1.13,3447,0
PLAN000000264,2008,57,SCHOOL,930036,7.195,647756,617985,65.9,0.5083,0.4615,1,7,17,1,0.5502,23.537,18.34,7954,0
PLAN000000265,2019,11,STATE_HOUSE,544870,0.4,417245,396132,86.84,0.3733,0.1799,1,13,49,0,0.9146,14.251,65.43,22785,0
PLAN000000266,2009,38,STATE_SENATE,237102,7.941,179835,151869,72.66,0.0358,0.7939,1,4,33,0,0.7218,6.092,88.07,24241,0
PLAN000000267,2003,49,CONGRESSIONAL,549023,-0.476,428640,347532,49.61,0.3382,0.3127,1,4,32,0,0.5309,-23.303,38.25,19986,0
PLAN000000268,2016,53,JUDICIAL,303154,6.182,213712,199121,52.62,0.6149,0.3862,1,3,79,0,0.7378,-39.635,27.12,23753,0
PLAN000000269,1998,17,CITY,588873,3.165,437858,370773,19.82,0.2622,0.0435,1,8,80,0,0.5406,-38.911,37.13,19990,0
PLAN000000270,1995,47,STATE_HOUSE,227700,-5.466,176669,151043,50.78,0.5334,0.7512,1,10,7,1,0.1561,-19.001,68.59,9110,0
PLAN000000271,2006,58,STATE_HOUSE,550821,5.249,399441,330994,79.19,0.4168,0.6531,1,12,0,0,0.9765,-11.704,2.42,16586,0
PLAN000000272,1992,54,JUDICIAL,178346,1.341,142197,111227,52.95,0.0554,0.0435,1,0,35,1,0.8045,-37.928,52.48,19094,0
PLAN000000273,2012,32,CONGRESSIONAL,923634,-2.08,637163,550009,58.39,0.3504,0.8217,1,4,62,0,0.7004,26.528,22.7,14848,0
PLAN000000274,2022,45,CONGRESSIONAL,362528,4.01,257394,208915,54.22,0.374,0.0623,1,20,28,0,0.9812,7.897,83.89,4409,0
PLAN000000275,2001,48,STATE_SENATE,393784,-6.069,279629,265704,27.95,0.4891,0.5616,1,20,10,1,0.8465,-35.277,13.94,20835,0
PLAN000000276,1999,14,STATE_SENATE,132294,-1.692,108331,103988,45.38,0.2957,0.2858,1,17,9,1,0.0512,5.214,64.2,3644,0
PLAN000000277,2016,59,CITY,244857,-2.332,173080,165924,8.37,0.3962,0.2749,1,2,77,1,0.345,18.902,1.38,22797,0
PLAN000000278,2011,39,CITY,679307,4.334,481753,415548,78.38,0.5389,0.2702,1,16,23,0,0.2145,-12.538,62.78,20691,0
PLAN000000279,2014,23,STATE_HOUSE,230178,-1.986,163940,137555,43.26,0.0457,0.3385,1,12,65,0,0.6997,-35.309,79.36,21718,0
PLAN000000280,2020,54,STATE_HOUSE,456585,4.178,350439,279520,94.77,0.6753,0.1472,1,14,23,0,0.8506,-22.942,46.9,9898,0
PLAN000000281,1999,33,CONGRESSIONAL,788242,6.759,569556,533806,20.24,0.4036,0.6612,1,4,45,0,0.9354,29.63,71.75,7684,0
PLAN000000282,1994,2,STATE_HOUSE,119091,-2.017,87767,71798,16.64,0.2571,0.3046,1,8,36,0,0.9103,-9.624,5.45,22484,0
PLAN000000283,2021,20,CONGRESSIONAL,454908,6.485,324854,279585,44.73,0.2886,0.0979,1,1,45,0,0.154,-31.471,51.53,10847,1
PLAN000000284,2017,49,STATE_SENATE,204762,-5.007,159969,126819,4.28,0.6624,0.7964,1,0,22,0,0.0444,-19.016,35.69,5675,0
PLAN000000285,2011,8,CITY,478591,-4.233,356024,282240,87.05,0.7811,0.1118,1,13,14,0,0.1144,9.396,42.72,695,0
PLAN000000286,2015,35,CONGRESSIONAL,121114,1.709,89202,72448,55.11,0.1389,0.6686,1,8,55,0,0.0968,-36.858,63.98,12868,0
PLAN000000287,1999,4,CITY,664270,5.787,478915,389890,35.76,0.3165,0.1561,1,15,71,0,0.1522,27.973,71.37,19224,1
PLAN000000288,2006,43,JUDICIAL,908194,-2.775,641054,597497,47.08,0.7651,0.0807,0,7,24,0,0.2561,3.983,77.52,10959,0
PLAN000000289,1991,29,STATE_HOUSE,818132,4.289,601047,544739,60.53,0.7355,0.7907,1,7,29,0,0.1072,34.879,58.74,15813,1
PLAN000000290,1993,18,JUDICIAL,710388,-0.956,489922,402561,5.74,0.1603,0.7207,0,11,1,0,0.9338,20.042,34.16,21211,0
PLAN000000291,2021,44,SCHOOL,917990,3.884,684979,655183,85.15,0.4124,0.5746,1,20,48,1,0.0068,7.116,78.24,11714,0
PLAN000000292,2022,52,STATE_SENATE,733919,-3.029,579040,467614,62.69,0.4168,0.0947,1,4,79,0,0.1218,5.042,31.59,5381,0
PLAN000000293,2009,30,CONGRESSIONAL,72948,-4.877,56771,52671,5.8,0.7112,0.1899,0,9,33,1,0.3072,-36.046,20.89,24087,0
PLAN000000294,2015,40,STATE_SENATE,743680,-1.738,520246,410502,22.18,0.5146,0.5132,1,4,48,0,0.858,22.236,2.19,4327,0
PLAN000000295,2001,21,SCHOOL,276374,1.777,216948,191322,67.14,0.317,0.6651,1,13,63,1,0.9328,26.993,73.13,18418,0
PLAN000000296,1990,37,CONGRESSIONAL,249734,1.235,178830,158870,74.25,0.6376,0.1426,1,6,68,0,0.6974,7.475,60.58,11189,0
PLAN000000297,1994,32,CITY,92374,3.315,67939,59804,25.55,0.3713,0.3265,1,17,14,0,0.1217,35.802,44.32,18356,0
PLAN000000298,2005,38,STATE_HOUSE,213535,-2.606,157485,123452,33.76,0.0751,0.4305,1,13,35,0,0.8347,4.354,84.15,11445,0
PLAN000000299,2019,60,JUDICIAL,602909,-7.294,420147,342935,59.54,0.2774,0.1068,1,15,80,0,0.6191,4.383,93.81,14258,0
PLAN000000300,1999,59,STATE_SENATE,757252,-0.048,608987,520271,93.25,0.2358,0.4045,1,15,37,0,0.7981,17.451,26.82,21741,0
PLAN000000301,1993,60,STATE_HOUSE,716323,6.591,518542,459158,74.75,0.5996,0.3869,1,2,60,0,0.4673,-0.504,19.41,15837,0
PLAN000000302,2017,17,JUDICIAL,36439,7.121,29206,26830,67.85,0.5117,0.3159,1,17,74,1,0.9879,-34.468,96.6,6939,0
PLAN000000303,2010,54,CITY,814797,-4.013,642376,563874,91.5,0.6037,0.2168,1,5,67,0,0.8921,-4.415,51.26,17153,0
PLAN000000304,1994,13,CONGRESSIONAL,892048,6.655,628156,549159,14.09,0.3865,0.3324,1,5,50,0,0.0242,16.739,42.97,18459,0
PLAN000000305,2024,12,CONGRESSIONAL,629598,-7.933,452210,375299,7.32,0.6954,0.7728,1,18,22,0,0.8475,-1.992,22.22,9218,0
PLAN000000306,2014,44,JUDICIAL,81082,2.196,61648,55118,69.96,0.6627,0.3218,1,7,28,0,0.2515,-6.737,3.35,18572,0
PLAN000000307,2021,41,STATE_SENATE,351577,-4.609,257671,241773,78.91,0.4902,0.3493,1,0,75,0,0.7436,-37.577,27.92,179,0
PLAN000000308,2000,25,CONGRESSIONAL,353964,7.854,275259,234138,11.05,0.1123,0.7954,1,19,64,1,0.9143,-22.894,31.54,1000,0
PLAN000000309,2010,19,CONGRESSIONAL,173666,3.231,127302,120393,35.1,0.7232,0.6734,1,18,58,0,0.8133,-10.748,18.41,21545,0
PLAN000000310,2021,17,JUDICIAL,770379,-5.677,619453,490129,40.2,0.3641,0.8341,1,0,21,0,0.3974,-38.871,38.51,3444,1
PLAN000000311,2025,48,CITY,115144,5.501,79002,63086,76.96,0.5715,0.6572,1,15,42,0,0.4643,11.946,80.84,4129,0
PLAN000000312,2018,48,STATE_HOUSE,567700,-6.376,459244,378484,85.72,0.0905,0.2101,1,12,40,0,0.9259,-28.35,77.49,15525,0
PLAN000000313,1991,10,STATE_SENATE,610748,-5.211,481836,449311,89.12,0.7103,0.828,1,4,11,1,0.8477,30.728,19.95,3416,0
PLAN000000314,2006,28,CONGRESSIONAL,92730,5.353,75296,65995,12.1,0.6096,0.6979,1,2,27,0,0.7524,-36.273,18.87,18408,0
PLAN000000315,2013,2,STATE_HOUSE,640997,-6.241,524025,462771,13.01,0.4775,0.7873,1,10,34,0,0.9775,-5.958,76.92,16640,0
PLAN000000316,2000,42,CONGRESSIONAL,806629,7.565,623747,504245,9.68,0.3721,0.7291,1,18,10,0,0.2112,11.121,81.44,6167,0
PLAN000000317,2025,54,SCHOOL,376848,-5.089,287660,243497,58.03,0.1609,0.6741,1,19,24,0,0.9028,29.853,20.51,742,1
PLAN000000318,2009,7,CONGRESSIONAL,287331,4.247,201989,193751,51.81,0.7881,0.5929,1,8,51,0,0.3519,-5.538,26.52,23466,0
PLAN000000319,2003,5,CONGRESSIONAL,609232,-2.424,454271,419815,8.85,0.2348,0.8458,0,0,13,1,0.1344,9.286,28.81,16232,0
PLAN000000320,2013,32,CONGRESSIONAL,33962,6.989,25165,22328,45.32,0.6667,0.519,1,20,27,1,0.6432,-19.993,75.09,527,0
PLAN000000321,2000,19,STATE_HOUSE,811250,-3.772,609538,543470,49.97,0.6864,0.4251,1,13,12,0,0.396,-2.435,32.51,18293,1
PLAN000000322,1996,46,SCHOOL,484974,3.81,375533,324803,84.94,0.2283,0.2122,1,10,43,0,0.2899,-12.787,99.33,3994,0
PLAN000000323,2011,22,SCHOOL,592766,4.567,479169,390758,54.12,0.5442,0.391,1,14,16,0,0.3447,-28.984,51.23,7742,0
PLAN000000324,2013,38,CONGRESSIONAL,444461,6.359,339316,301058,63.66,0.4773,0.3907,1,20,0,0,0.7124,-9.4,93.57,22992,0
PLAN000000325,2002,22,SCHOOL,79559,5.553,55038,46593,53.45,0.3287,0.5336,1,3,53,0,0.3991,17.282,58.52,19755,0
PLAN000000326,1992,31,CONGRESSIONAL,929797,-1.607,724989,570341,78.78,0.28,0.6468,1,16,49,0,0.9355,2.672,59.19,11246,0
PLAN000000327,2024,44,STATE_HOUSE,585833,-4.379,455258,409761,3.61,0.494,0.101,1,5,32,1,0.4328,-34.059,8.11,14239,0
PLAN000000328,2009,3,SCHOOL,67695,6.223,49449,45191,39.22,0.0691,0.1188,1,9,12,0,0.0411,39.948,15.82,6861,0
PLAN000000329,2008,13,CONGRESSIONAL,241431,7.252,191176,179034,78.94,0.582,0.5619,1,9,67,1,0.4804,-39.458,23.27,3519,0
PLAN000000330,2003,2,SCHOOL,684339,1.873,533952,470056,27.26,0.274,0.3447,1,14,59,0,0.8379,-39.99,15.05,20037,0
PLAN000000331,2009,4,SCHOOL,577641,-3.518,444287,425055,51.46,0.0429,0.7235,1,8,38,0,0.7686,11.65,64.05,21684,0
PLAN000000332,2017,4,STATE_HOUSE,231721,7.971,182227,161976,39.35,0.4487,0.8158,1,2,53,0,0.2869,-23.287,85.05,7913,0
PLAN000000333,2019,34,JUDICIAL,606839,-5.609,494992,388148,75.38,0.2193,0.6393,1,16,70,0,0.0462,-16.642,3.94,24699,0
PLAN000000334,1993,21,STATE_SENATE,759099,-7.759,560208,456704,53.65,0.6324,0.4915,1,3,33,0,0.0385,-5.546,17.36,13574,0
PLAN000000335,1995,12,SCHOOL,619470,-1.655,496543,394099,16.84,0.6064,0.7083,1,2,66,1,0.3704,-30.24,8.88,21276,0
PLAN000000336,2007,3,STATE_HOUSE,162249,-1.854,126105,113363,55.15,0.712,0.5297,1,15,3,0,0.2128,26.289,42.82,3910,0
PLAN000000337,2003,40,SCHOOL,407146,7.192,332515,276776,85.03,0.4555,0.0755,1,2,65,0,0.5559,17.71,88.95,4110,0
PLAN000000338,2025,48,STATE_SENATE,700501,-6.001,564203,483519,45.08,0.2737,0.0909,1,15,3,0,0.7737,32.457,65.03,3213,0
PLAN000000339,2003,22,CITY,230647,-4.91,181243,147876,10.74,0.3178,0.2232,1,8,4,1,0.3377,24.969,23.74,20017,0
PLAN000000340,2013,45,CITY,539415,-5.683,427917,344127,22.72,0.0503,0.8179,1,5,12,1,0.1718,-1.288,0.19,12579,0
PLAN000000341,2007,31,STATE_HOUSE,708967,7.206,547192,520037,66.56,0.4223,0.513,1,0,43,1,0.9843,15.302,89.16,20819,0
PLAN000000342,2019,59,JUDICIAL,859121,-4.475,593808,555016,80.55,0.5548,0.8346,1,7,52,1,0.7915,27.999,32.93,8334,0
PLAN000000343,1999,56,CITY,401592,-1.93,284856,249254,41.88,0.2003,0.0768,1,13,60,0,0.1197,35.708,69.63,6215,0
PLAN000000344,2006,49,STATE_SENATE,163676,-7.479,126217,109670,36.34,0.3597,0.2358,1,4,28,1,0.9391,18.161,4.05,19884,0
PLAN000000345,2019,46,CONGRESSIONAL,941357,6.951,771228,635148,50.8,0.4568,0.1933,1,11,34,1,0.8902,2.184,75.72,24604,1
PLAN000000346,2005,55,STATE_HOUSE,487196,1.919,349336,323385,6.65,0.296,0.381,1,13,30,1,0.7506,9.883,21.96,7061,0
PLAN000000347,2005,25,SCHOOL,513009,2.989,412820,344889,7.97,0.4372,0.6391,1,20,17,1,0.7406,-9.046,4.37,2111,0
PLAN000000348,1993,13,JUDICIAL,801046,-5.932,546226,514584,79.91,0.7708,0.5722,1,7,52,0,0.4486,-27.106,8.03,11552,0
PLAN000000349,2008,25,STATE_SENATE,236349,-7.937,161070,138259,62.68,0.5009,0.3752,1,11,33,0,0.1244,17.634,69.88,19049,0
PLAN000000350,1990,60,STATE_SENATE,683613,7.527,472710,373957,65.98,0.7163,0.7326,1,16,30,0,0.5567,37.438,26.27,4794,0
PLAN000000351,2005,44,STATE_SENATE,459646,0.799,344047,319827,74.67,0.7202,0.1149,1,19,30,1,0.5791,-17.117,35.87,5350,0
PLAN000000352,2019,36,CONGRESSIONAL,899986,-0.135,667258,618767,66.47,0.565,0.1086,1,1,25,0,0.3448,-24.377,94.12,21079,0
PLAN000000353,1999,49,STATE_HOUSE,301871,4.275,246450,194860,30.4,0.3931,0.6231,1,5,28,0,0.8049,-2.051,97.8,15244,0
PLAN000000354,1993,19,CONGRESSIONAL,589726,-3.973,429745,405552,17.7,0.6491,0.4004,1,17,60,0,0.3985,21.992,48.22,11837,0
PLAN000000355,2023,11,STATE_HOUSE,116059,3.047,89193,84572,47.54,0.5255,0.0295,1,11,32,1,0.8503,-28.967,28.17,5932,0
PLAN000000356,1999,55,CONGRESSIONAL,832504,-1.035,682642,625129,4.2,0.1883,0.8213,1,0,79,1,0.8169,-22.43,84.2,13899,0
PLAN000000357,2020,58,SCHOOL,425691,-0.431,295184,281430,52.76,0.7286,0.0392,0,14,66,0,0.7739,15.879,54.43,11987,0
PLAN000000358,2000,54,STATE_HOUSE,14456,6.288,9848,7716,84.13,0.0479,0.7786,1,7,66,1,0.8808,-10.494,46.84,11357,0
PLAN000000359,2025,36,STATE_HOUSE,166114,-5.702,114228,105669,28.24,0.0335,0.2907,1,9,27,0,0.1974,23.589,50.65,11044,0
PLAN000000360,2006,30,JUDICIAL,103912,-3.12,85055,77124,24.15,0.0996,0.1373,1,15,45,0,0.4983,33.77,64.07,24471,0
PLAN000000361,2020,40,CONGRESSIONAL,230111,6.41,158620,143483,26.75,0.182,0.5945,1,6,75,0,0.1123,-3.552,37.27,2094,0
