trans_road_reference_year,trans_road_country_iso2,trans_road_region_nuts_code,trans_road_vehicle_type_code,trans_road_vehicle_stock_count,trans_road_new_registrations_count,trans_road_ev_share_new_registrations_pct,trans_road_avg_vehicle_age_years,trans_road_vkt_million_km,trans_road_congestion_index,trans_road_road_fatalities_count,trans_road_serious_injuries_count,trans_road_speeding_infractions_count,trans_road_alcohol_infractions_count,trans_road_seatbelt_noncompliance_count,trans_road_co2e_emissions_tonnes,trans_road_low_emission_zone_coverage_pct,trans_road_data_source,trans_road_revision_round,trans_road_data_extract_date
2012,LU,LV345,MOPED,2978983,114812,7.74,5.09,93961.82,0.4607,4276,29199,35819,9311,10554,22326884.25,7.99,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-06
2013,RO,LV94,MOTORCYCLE,7408454,376482,8.03,15.07,30208.38,1.2734,914,5169,121710,8253,21325,9171621.59,9.23,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-14
2014,AT,EE399,BUS_COACH,1668319,83144,11.31,7.45,26128.74,0.4756,1225,10762,86786,25012,49924,3291300.25,21.16,POLICE_ADMIN_DATA,BENCHMARK,2025-12-20
2015,CZ,MT353,HEAVY_TRUCK,1836380,245028,40.66,12.46,17069.52,0.7928,185,956,63011,5911,38974,3500971.37,32.33,CARE_ROAD_SAFETY_DB,FLASH,2025-02-08
2016,DE,EE432,LIGHT_COMMERCIAL,6151292,420998,4.13,17.5,64481.31,1.1451,1037,8178,5865,16132,63901,4980605.16,47.18,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-21
2017,LV,MT339,PASSENGER_CAR,10887691,1417847,38.14,12.17,40541.67,2.3994,1051,10367,141720,24141,42940,8716593.0,5.3,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-22
2018,PL,BE4,MOPED,4950079,499418,30.68,15.36,38100.81,1.833,835,9801,64280,18461,45949,4227370.06,0.04,POLICE_ADMIN_DATA,BENCHMARK,2024-05-20
2019,ES,GR54,MOTORCYCLE,10021544,1737226,2.19,13.59,1128.52,1.9486,27,252,29475,25491,34207,187492.22,2.37,CARE_ROAD_SAFETY_DB,FLASH,2024-01-24
2020,HR,FR859,BUS_COACH,2968076,323352,20.16,6.97,38309.36,1.7485,1066,10570,54180,11981,47813,4801987.33,19.77,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-29
2021,FI,LU9,HEAVY_TRUCK,7080336,1013813,92.74,9.58,30606.76,0.7645,558,5319,2179,25939,19912,4478304.65,15.0,EEA_TRANSPORT_EMISSIONS,SECOND,2026-01-24
2022,IE,SI990,LIGHT_COMMERCIAL,2738285,298577,15.77,8.97,70529.77,0.6379,1172,4933,23740,17482,46191,6050318.65,50.63,POLICE_ADMIN_DATA,BENCHMARK,2024-05-02
2023,MT,NL21,PASSENGER_CAR,5307865,241342,12.02,14.53,51302.8,1.8046,58,671,47950,16699,67446,11445525.61,3.91,CARE_ROAD_SAFETY_DB,FLASH,2024-12-27
2024,SK,HU1,MOPED,276266,30253,5.04,12.63,5669.83,1.7608,303,923,16611,3613,30224,1620698.72,36.06,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-06-24
2025,BE,SK680,MOTORCYCLE,7263069,338191,50.87,10.22,50726.67,0.2499,1208,4218,5290,1144,31672,6449524.54,25.64,EEA_TRANSPORT_EMISSIONS,SECOND,2025-10-07
2005,DK,SK369,BUS_COACH,4542675,712017,3.14,10.86,18074.57,1.6357,173,1361,153586,12555,12567,1404806.03,29.09,POLICE_ADMIN_DATA,BENCHMARK,2026-01-22
2006,GR,IT20,HEAVY_TRUCK,2554631,350011,33.77,12.95,14654.4,1.2617,160,603,66473,3433,51123,3004816.66,55.67,CARE_ROAD_SAFETY_DB,FLASH,2024-04-05
2007,LT,CZ7,LIGHT_COMMERCIAL,1394891,63282,8.97,16.43,84603.88,0.5625,2518,27419,38216,11358,2980,10579040.05,4.17,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-10-29
2008,PT,SE539,PASSENGER_CAR,2650379,345946,23.42,9.89,51966.55,0.635,1185,5099,70795,27638,71845,14062934.92,7.89,EEA_TRANSPORT_EMISSIONS,SECOND,2025-06-21
2009,SE,EE1,MOPED,8030645,592986,8.61,5.39,56033.93,1.8661,873,4290,40082,11071,39671,17852348.92,38.57,POLICE_ADMIN_DATA,BENCHMARK,2025-06-11
2010,CY,NL9,MOTORCYCLE,10558755,224614,37.73,12.8,77707.0,1.3998,3588,42014,30934,8540,33490,18186386.97,47.5,CARE_ROAD_SAFETY_DB,FLASH,2024-11-12
2011,FR,IT4,BUS_COACH,4026208,355573,36.7,12.24,62902.76,1.9113,2497,13867,30075,4892,18540,10414160.18,18.13,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-09-15
2012,IT,PT5,HEAVY_TRUCK,7038966,952901,14.76,9.2,63152.78,0.9241,1462,14443,99407,17102,33574,16978331.14,28.58,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-28
2013,NL,SK31,LIGHT_COMMERCIAL,9076667,369221,35.46,5.74,2433.81,2.1401,52,505,85700,23190,1183,462840.08,1.83,POLICE_ADMIN_DATA,BENCHMARK,2024-05-21
2014,SI,PT948,PASSENGER_CAR,13605728,571824,6.15,13.5,63552.51,2.1405,2767,8675,55109,1932,1027,8139975.58,36.73,CARE_ROAD_SAFETY_DB,FLASH,2024-04-28
2015,BG,SK45,MOPED,2548870,223418,14.86,5.77,81231.04,0.7026,1188,11750,92694,10178,11341,14245408.58,27.69,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-17
2016,EE,EE3,MOTORCYCLE,5198128,924885,31.41,16.47,22083.63,0.3056,1034,11839,65649,26265,24250,4198247.26,15.51,EEA_TRANSPORT_EMISSIONS,SECOND,2025-04-16
2017,HU,HR21,BUS_COACH,5827780,424813,13.35,10.64,24775.52,0.5998,944,9883,44649,10407,12971,5383961.08,45.85,POLICE_ADMIN_DATA,BENCHMARK,2025-01-07
2018,LU,LU691,HEAVY_TRUCK,3234869,277549,37.21,14.64,19959.45,1.0891,331,2488,8065,22086,22273,3957361.61,73.63,CARE_ROAD_SAFETY_DB,FLASH,2025-03-09
2019,RO,PL788,LIGHT_COMMERCIAL,13965625,1647102,13.04,10.04,53514.15,2.053,2491,17415,128060,14437,29459,7448645.92,31.37,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-10-05
2020,AT,DK57,PASSENGER_CAR,3526318,102036,90.96,16.52,38502.73,0.2469,1781,18180,2461,7070,36704,5925524.13,13.35,EEA_TRANSPORT_EMISSIONS,SECOND,2025-08-01
2021,CZ,NL928,MOPED,11406912,1400381,89.93,14.83,24720.16,1.7358,1496,10088,149471,162,48426,916788.09,65.78,POLICE_ADMIN_DATA,BENCHMARK,2024-08-14
2022,DE,CY79,MOTORCYCLE,7990371,718377,91.37,13.2,15747.0,2.0856,190,997,120565,2178,10289,1398011.27,6.21,CARE_ROAD_SAFETY_DB,FLASH,2025-05-13
2023,LV,RO731,BUS_COACH,9902645,1606469,52.71,7.89,46810.46,1.6816,1791,14996,37228,29958,23855,5260143.41,77.02,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-09
2024,PL,AT74,HEAVY_TRUCK,2970847,199502,95.67,5.91,41500.65,1.0076,423,4181,26464,9676,13937,6139947.95,52.81,EEA_TRANSPORT_EMISSIONS,SECOND,2025-02-28
2025,ES,EE16,LIGHT_COMMERCIAL,2349672,206115,26.67,17.17,71189.45,0.8735,3235,10318,76821,27138,7381,17639158.61,41.11,POLICE_ADMIN_DATA,BENCHMARK,2025-07-23
2005,HR,PL89,PASSENGER_CAR,734618,36876,17.47,14.38,15349.15,0.7594,85,791,90012,1139,46140,3645027.43,36.84,CARE_ROAD_SAFETY_DB,FLASH,2025-01-29
2006,FI,CZ12,MOPED,12038653,516134,2.14,9.68,26784.87,1.1636,1370,9240,99315,13502,47616,6050331.95,36.51,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-03-07
2007,IE,BE5,MOTORCYCLE,8304324,990526,37.05,14.15,20387.14,0.738,877,2888,47765,3270,17834,1146251.76,1.82,EEA_TRANSPORT_EMISSIONS,SECOND,2025-03-11
2008,MT,IT994,BUS_COACH,11512107,1567164,17.73,8.9,71012.3,1.5843,283,1314,77838,16671,50711,16221999.58,6.84,POLICE_ADMIN_DATA,BENCHMARK,2025-11-02
2009,SK,NL864,HEAVY_TRUCK,3898925,209695,11.75,15.96,22715.11,1.4827,1050,10219,54125,17052,50024,3349084.5,2.45,CARE_ROAD_SAFETY_DB,FLASH,2024-01-24
2010,BE,RO495,LIGHT_COMMERCIAL,12944472,2139842,3.46,8.76,74842.87,0.9813,3660,41140,25157,13734,62470,21758949.8,15.9,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-04-18
2011,DK,SK5,PASSENGER_CAR,5508642,639831,30.01,17.23,18553.23,1.138,891,3657,32670,18768,40579,4578249.98,18.79,EEA_TRANSPORT_EMISSIONS,SECOND,2025-11-26
2012,GR,LT118,MOPED,4834422,273159,36.24,14.46,43790.61,1.3836,566,5557,16185,18770,21883,7524984.16,5.81,POLICE_ADMIN_DATA,BENCHMARK,2025-05-31
2013,LT,IT141,MOTORCYCLE,9469256,1666511,20.88,15.42,21071.51,2.3728,1420,13788,159469,23998,10947,4824726.69,51.73,CARE_ROAD_SAFETY_DB,FLASH,2025-10-06
2014,PT,RO134,BUS_COACH,4339425,289233,12.5,6.49,33892.48,0.3385,1049,10083,33454,16919,45604,9043729.82,24.93,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-07-06
2015,SE,HR657,HEAVY_TRUCK,1365637,99387,7.14,13.19,59695.95,1.889,2152,14721,50321,17974,13444,18701073.3,51.44,EEA_TRANSPORT_EMISSIONS,SECOND,2025-08-10
2016,CY,AT49,LIGHT_COMMERCIAL,5549102,329701,20.56,13.6,15153.98,0.1634,486,4436,20860,15576,36739,1041961.38,32.17,POLICE_ADMIN_DATA,BENCHMARK,2024-08-19
2017,FR,HU85,PASSENGER_CAR,9293053,1439219,22.91,14.25,37967.68,1.213,1868,19235,65445,6803,18722,9004643.21,12.45,CARE_ROAD_SAFETY_DB,FLASH,2024-10-30
2018,IT,LT91,MOPED,5663925,665255,32.17,5.05,73531.63,1.4528,2046,16025,118073,9801,3221,18833073.14,55.62,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-09-30
2019,NL,PL122,MOTORCYCLE,1470454,36414,6.97,8.83,35579.08,0.9373,105,725,15546,11289,46437,3266262.57,32.43,EEA_TRANSPORT_EMISSIONS,SECOND,2024-09-12
2020,SI,LT367,BUS_COACH,3156128,210210,25.55,5.81,20378.07,2.1462,624,4675,50169,10676,12172,2529465.89,35.89,POLICE_ADMIN_DATA,BENCHMARK,2025-11-05
2021,BG,HR4,HEAVY_TRUCK,75752,13432,16.9,11.74,6546.83,1.752,290,1505,20471,2129,3036,1192370.22,4.18,CARE_ROAD_SAFETY_DB,FLASH,2026-01-08
2022,EE,LT70,LIGHT_COMMERCIAL,3809267,538577,33.69,6.67,52564.01,0.9434,1786,8095,26925,13451,23700,12842265.23,73.11,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-02-10
2023,HU,PL6,PASSENGER_CAR,11040878,950350,16.95,11.86,48859.25,2.01,2282,16905,129552,1400,47521,12945955.3,46.68,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-21
2024,LU,RO9,MOPED,3215656,316133,10.08,12.11,29548.23,0.5946,1849,7554,97912,9560,39190,5281596.9,81.14,POLICE_ADMIN_DATA,BENCHMARK,2024-07-13
2025,RO,IT803,MOTORCYCLE,1367315,115702,53.49,7.24,43062.88,1.0722,242,2838,79308,18324,11830,4260188.38,61.02,CARE_ROAD_SAFETY_DB,FLASH,2024-04-16
2005,AT,BE590,BUS_COACH,4679864,557867,19.18,5.61,170.77,2.192,0,0,156393,9485,14603,40032.8,1.93,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-15
2006,CZ,RO98,HEAVY_TRUCK,9448334,355639,35.33,15.58,87898.29,2.2987,2851,16742,70062,2153,26338,11595805.78,10.89,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-06
2007,DE,LT7,LIGHT_COMMERCIAL,10359214,442611,11.3,12.99,27264.62,2.0755,908,8305,30973,12737,40921,6380237.61,10.7,POLICE_ADMIN_DATA,BENCHMARK,2025-12-02
2008,LV,IT857,PASSENGER_CAR,4301439,617952,17.87,8.02,41817.55,1.1469,51,460,78503,7448,75399,11180040.34,8.02,CARE_ROAD_SAFETY_DB,FLASH,2024-04-29
2009,PL,SI373,MOPED,541515,95569,39.92,7.26,94886.11,2.0876,6446,68428,40546,3116,37512,23062328.56,37.54,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-15
2010,ES,FI6,MOTORCYCLE,7810968,1158281,11.38,10.24,23805.91,1.7026,196,869,75882,5540,48507,3740457.58,13.13,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-27
2011,HR,GR49,BUS_COACH,7994625,853457,11.69,16.65,25233.35,1.1857,510,3457,64748,2452,9226,7479622.67,48.89,POLICE_ADMIN_DATA,BENCHMARK,2025-09-08
2012,FI,DE87,HEAVY_TRUCK,15111894,2284854,40.99,13.84,21447.35,1.8971,1022,9763,111140,7146,45533,2499366.61,16.59,CARE_ROAD_SAFETY_DB,FLASH,2024-10-04
2013,IE,DK28,LIGHT_COMMERCIAL,12973982,1719580,27.17,9.42,3087.91,2.2813,107,400,103035,36,53652,549692.19,39.47,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-08
2014,MT,DK19,PASSENGER_CAR,14700987,1013392,36.67,17.2,29432.42,1.6298,509,2337,147510,17834,40499,7222519.58,29.47,EEA_TRANSPORT_EMISSIONS,SECOND,2025-07-06
2015,SK,ES584,MOPED,2320634,129820,11.67,5.01,73024.74,1.3486,3907,17602,75493,8345,43299,18092181.42,26.44,POLICE_ADMIN_DATA,BENCHMARK,2024-09-06
2016,BE,HU2,MOTORCYCLE,3581221,189116,17.72,17.24,36762.14,0.5406,1808,16172,87272,9029,24887,4457014.79,6.37,CARE_ROAD_SAFETY_DB,FLASH,2024-10-12
2017,DK,SE398,BUS_COACH,8310764,1061683,4.43,9.34,17171.4,0.4633,825,8496,41223,27197,5208,5460839.83,1.06,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-21
2018,GR,PT753,HEAVY_TRUCK,3337800,385617,8.12,6.71,68539.51,2.2185,3182,26858,12445,14728,17482,19616205.76,29.45,EEA_TRANSPORT_EMISSIONS,SECOND,2026-01-21
2019,LT,IT6,LIGHT_COMMERCIAL,9873322,1285821,41.44,10.81,47726.82,0.2874,1169,8939,54105,14227,48473,9929672.61,20.23,POLICE_ADMIN_DATA,BENCHMARK,2025-12-05
2020,PT,EE484,PASSENGER_CAR,2327676,374163,15.93,12.18,65518.74,0.6385,1371,16425,77892,12065,65008,11668030.97,49.67,CARE_ROAD_SAFETY_DB,FLASH,2025-01-21
2021,SE,SI53,MOPED,6991003,464921,96.27,5.2,85548.08,1.4266,2776,18660,34668,334,46330,7181294.31,37.0,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-01-28
2022,CY,EE6,MOTORCYCLE,10352512,875818,6.94,13.39,27929.1,1.069,919,9256,49148,14862,31751,6267298.82,5.7,EEA_TRANSPORT_EMISSIONS,SECOND,2024-12-27
2023,FR,HR231,BUS_COACH,15181817,2684501,8.92,15.18,47991.31,0.5943,1134,3954,26025,22773,24878,12568662.76,19.11,POLICE_ADMIN_DATA,BENCHMARK,2025-06-17
2024,IT,GR349,HEAVY_TRUCK,11949814,387902,88.38,8.8,37881.22,2.2799,641,3316,135049,4118,9386,1396208.3,80.6,CARE_ROAD_SAFETY_DB,FLASH,2024-01-15
2025,NL,HU627,LIGHT_COMMERCIAL,8872857,745364,49.42,10.88,21075.39,1.678,655,3448,14771,20188,56962,4534971.3,31.25,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-19
2005,SI,SI8,PASSENGER_CAR,6061749,153409,13.5,7.9,39409.43,0.5391,257,1458,6006,8752,27106,11746805.41,1.4,EEA_TRANSPORT_EMISSIONS,SECOND,2025-10-16
2006,BG,AT622,MOPED,7419447,353884,40.21,6.61,28631.98,0.9154,1107,9059,77816,533,24641,6925134.32,9.33,POLICE_ADMIN_DATA,BENCHMARK,2025-09-27
2007,EE,HU247,MOTORCYCLE,2743149,386926,9.64,14.13,15375.69,1.8905,851,7822,113817,11578,24337,1431909.68,36.7,CARE_ROAD_SAFETY_DB,FLASH,2024-12-24
2008,HU,EE702,BUS_COACH,7200059,349131,19.0,12.38,71281.76,1.9086,2187,14927,6499,17142,43583,7281236.82,31.56,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-06-29
2009,LU,EE9,HEAVY_TRUCK,11516999,850433,28.35,11.64,29207.83,0.407,1433,10432,17434,10871,47078,6656401.16,47.26,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-10
2010,RO,MT725,LIGHT_COMMERCIAL,5310989,858877,21.17,8.51,65181.0,0.7257,180,1091,65937,11576,56163,18079760.52,5.49,POLICE_ADMIN_DATA,BENCHMARK,2025-04-06
2011,AT,ES97,PASSENGER_CAR,7899443,285424,16.17,13.54,19810.67,1.458,356,1916,29843,14940,36003,1706896.16,3.03,CARE_ROAD_SAFETY_DB,FLASH,2024-11-23
2012,CZ,SE62,MOPED,2550127,157678,20.49,16.1,49767.23,2.276,2462,23942,44737,13646,2011,11249810.64,10.08,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-07-22
2013,DE,LV82,MOTORCYCLE,6546872,986090,18.01,13.5,95483.83,2.0358,1591,12876,121859,1216,33878,21853139.36,52.09,EEA_TRANSPORT_EMISSIONS,SECOND,2025-02-18
2014,LV,CZ37,BUS_COACH,4873575,435967,12.97,5.63,17217.33,0.7198,639,5723,32264,15395,22882,1365525.02,6.96,POLICE_ADMIN_DATA,BENCHMARK,2024-05-23
2015,PL,NL54,HEAVY_TRUCK,8833776,1580285,20.19,13.14,74114.0,0.8753,2230,23483,43459,29801,14530,18697483.12,43.76,CARE_ROAD_SAFETY_DB,FLASH,2024-05-25
2016,ES,CZ398,LIGHT_COMMERCIAL,9429312,1238874,18.39,8.1,69117.01,1.4923,2929,24850,34379,5453,22442,12974266.23,20.14,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-02-05
2017,HR,FI13,PASSENGER_CAR,9151577,714945,29.22,6.17,50394.19,0.8036,2115,23711,94184,9056,65644,9455176.84,47.62,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-05
2018,FI,DE214,MOPED,7196483,1263787,8.59,11.46,3345.72,1.6649,5,36,124487,6611,49326,769836.05,39.59,POLICE_ADMIN_DATA,BENCHMARK,2025-08-18
2019,IE,LT343,MOTORCYCLE,5139255,535689,11.41,11.16,17315.67,1.6355,864,7160,11592,8679,41395,2374616.27,7.3,CARE_ROAD_SAFETY_DB,FLASH,2025-06-23
2020,MT,GR87,BUS_COACH,146056,7984,65.57,7.48,40479.72,1.8222,1247,12908,75720,3959,17702,5877463.93,43.54,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-02-25
2021,SK,FI4,HEAVY_TRUCK,2083459,286048,61.23,11.56,25233.32,0.1983,1083,9789,44236,17257,12581,1422583.01,24.76,EEA_TRANSPORT_EMISSIONS,SECOND,2025-03-13
2022,BE,PL585,LIGHT_COMMERCIAL,10517051,1328522,38.33,16.19,13205.67,2.2869,106,880,129979,17055,74858,2310521.57,1.44,POLICE_ADMIN_DATA,BENCHMARK,2024-10-29
2023,DK,LT816,PASSENGER_CAR,6038406,1045887,70.07,7.39,39549.95,1.3177,914,4374,93866,16568,63635,4689108.3,79.76,CARE_ROAD_SAFETY_DB,FLASH,2024-03-16
2024,GR,BE793,MOPED,7482586,355669,30.91,16.11,68685.07,1.8761,3722,14195,109016,18648,7448,16338056.59,52.53,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-09-09
2025,LT,BE8,MOTORCYCLE,5948336,705235,83.48,13.96,66690.15,0.3994,3303,12140,47579,11555,51234,6430675.07,11.54,EEA_TRANSPORT_EMISSIONS,SECOND,2026-01-16
2005,PT,BG292,BUS_COACH,8682922,1314674,10.72,14.82,53982.79,0.7437,372,3412,67102,1895,23397,13084195.17,7.88,POLICE_ADMIN_DATA,BENCHMARK,2025-02-27
2006,SE,BG197,HEAVY_TRUCK,1167861,176327,41.35,12.27,55162.59,2.3204,1457,9907,73110,16321,29847,12079399.44,44.56,CARE_ROAD_SAFETY_DB,FLASH,2025-02-13
2007,CY,IE27,LIGHT_COMMERCIAL,11307291,1227508,1.41,17.49,27845.84,1.0447,793,5411,38658,17628,30077,4991275.45,53.49,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-30
2008,FR,FR2,PASSENGER_CAR,6151407,615858,14.02,5.09,13978.36,2.1104,373,2404,78622,8171,30348,2264893.41,3.08,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-27
2009,IT,LU4,MOPED,4332708,162704,24.68,15.8,55284.16,2.2304,1114,10056,125653,16664,8975,15430669.55,51.81,POLICE_ADMIN_DATA,BENCHMARK,2025-01-13
2010,NL,DE309,MOTORCYCLE,1374164,203246,36.35,16.71,32108.67,1.7645,1962,14266,152403,15402,41748,3084684.12,22.19,CARE_ROAD_SAFETY_DB,FLASH,2024-10-08
2011,SI,MT4,BUS_COACH,3178672,502428,18.8,13.9,3483.05,1.9997,149,1755,130381,16879,47948,365043.08,20.07,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-01-19
2012,BG,EE32,HEAVY_TRUCK,8069623,614989,14.31,9.82,34333.76,0.1526,1436,13525,62790,6176,4435,7055046.79,19.9,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-05
2013,EE,SI3,LIGHT_COMMERCIAL,7618539,395361,30.35,11.27,81401.61,0.378,4031,34671,8481,28016,40930,19247686.34,30.44,POLICE_ADMIN_DATA,BENCHMARK,2024-11-30
2014,HU,FR4,PASSENGER_CAR,5085665,365627,32.63,16.16,2150.78,1.1323,17,141,62938,2921,63111,275366.99,5.53,CARE_ROAD_SAFETY_DB,FLASH,2024-03-15
2015,LU,SI226,MOPED,5017303,604092,41.12,16.95,39610.95,1.0922,1551,6893,97355,15228,38801,2514017.46,4.41,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-02-21
2016,RO,BG1,MOTORCYCLE,13828333,1250189,5.8,13.93,50760.33,0.9319,3176,35081,97969,3646,18573,13717987.3,18.51,EEA_TRANSPORT_EMISSIONS,SECOND,2025-07-07
2017,AT,ES57,BUS_COACH,15176108,1611732,20.55,8.41,81249.36,1.4548,640,5564,56920,2220,29000,16595946.33,30.93,POLICE_ADMIN_DATA,BENCHMARK,2025-08-15
2018,CZ,HU95,HEAVY_TRUCK,11278308,1454236,7.97,5.38,29801.53,0.996,959,10251,23324,4355,31689,7246917.58,76.26,CARE_ROAD_SAFETY_DB,FLASH,2024-03-01
2019,DE,LV5,LIGHT_COMMERCIAL,7889933,562446,31.55,11.8,7336.93,1.1667,153,1201,74785,14934,8245,1661627.21,80.27,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-06-12
2020,LV,FR940,PASSENGER_CAR,3123840,183532,54.28,15.55,2174.34,1.2732,69,386,59682,6452,34754,155934.14,24.84,EEA_TRANSPORT_EMISSIONS,SECOND,2025-08-24
2021,PL,DK43,MOPED,5361618,665765,62.01,16.56,24164.35,2.1667,1652,14198,28230,6130,27080,3188884.48,53.13,POLICE_ADMIN_DATA,BENCHMARK,2024-12-03
2022,ES,EE124,MOTORCYCLE,7273704,1174019,48.72,10.47,58618.33,0.659,903,3220,6076,13384,8019,7277261.75,16.0,CARE_ROAD_SAFETY_DB,FLASH,2024-07-25
2023,HR,LT493,BUS_COACH,4723222,610793,24.36,9.77,16744.58,1.9653,49,322,135353,14570,6283,3577774.21,67.04,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-29
2024,FI,GR935,HEAVY_TRUCK,8938027,1498697,77.84,11.51,60503.02,0.1818,1097,3824,88530,8017,42983,9002918.44,32.49,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-04
2025,IE,HR185,LIGHT_COMMERCIAL,5947905,569841,3.95,8.26,65178.22,0.9265,1969,12710,60661,17161,67778,19467512.02,54.6,POLICE_ADMIN_DATA,BENCHMARK,2025-07-30
2005,MT,CZ47,PASSENGER_CAR,1052161,48440,35.91,15.54,16204.23,0.6339,215,1794,77129,17703,69928,2040185.51,21.86,CARE_ROAD_SAFETY_DB,FLASH,2024-11-13
2006,SK,LT89,MOPED,4727120,629890,31.4,16.84,10323.71,0.1592,67,246,42281,341,17910,1971911.04,20.65,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-18
2007,BE,EE80,MOTORCYCLE,3727886,230085,5.81,9.17,70159.42,1.087,1815,15703,27999,1973,50658,16857131.75,25.24,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-19
2008,DK,IT64,BUS_COACH,6716693,810510,41.53,14.78,33770.07,1.9172,1011,3766,50787,13208,34247,5186164.45,15.92,POLICE_ADMIN_DATA,BENCHMARK,2024-10-10
2009,GR,BG908,HEAVY_TRUCK,12816603,1615443,31.83,9.0,32054.66,1.3993,404,1856,4824,3829,36773,8412741.82,53.71,CARE_ROAD_SAFETY_DB,FLASH,2025-08-02
2010,LT,LT65,LIGHT_COMMERCIAL,5941530,906336,34.43,7.22,44216.48,1.4865,1085,5986,87776,9617,19885,10988784.78,53.57,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-20
2011,PT,PT75,PASSENGER_CAR,4508594,606682,27.01,13.54,3998.24,0.9493,84,961,33450,11477,24960,723576.89,2.53,EEA_TRANSPORT_EMISSIONS,SECOND,2025-12-22
2012,SE,ES1,MOPED,13461199,882716,26.3,11.22,39399.64,2.2768,1739,13273,67777,14511,21975,10633890.37,51.86,POLICE_ADMIN_DATA,BENCHMARK,2024-10-02
2013,CY,FR395,MOTORCYCLE,1360706,221479,0.93,9.83,32894.83,0.6381,1156,10854,51872,22087,25797,10826172.9,42.37,CARE_ROAD_SAFETY_DB,FLASH,2025-06-19
2014,FR,ES35,BUS_COACH,8467141,643117,32.79,7.94,74633.56,1.9777,2365,25488,67898,4648,38035,19838987.16,25.72,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-08-02
2015,IT,DE88,HEAVY_TRUCK,4305812,674949,36.64,7.28,50763.3,2.0545,827,5632,6469,24587,48336,2815829.57,47.26,EEA_TRANSPORT_EMISSIONS,SECOND,2024-10-02
2016,NL,DE15,LIGHT_COMMERCIAL,2827154,177807,31.51,8.39,60104.31,1.3592,120,900,101577,10006,7996,7854812.48,21.2,POLICE_ADMIN_DATA,BENCHMARK,2024-10-16
2017,SI,IE264,PASSENGER_CAR,4233825,450551,42.15,6.71,24261.54,0.3306,897,6387,39413,16431,10580,2760525.74,31.87,CARE_ROAD_SAFETY_DB,FLASH,2025-01-13
2018,BG,LU72,MOPED,12190072,940670,13.58,11.07,41248.17,0.1797,889,4880,11395,17085,25512,3356745.46,20.43,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-12
2019,EE,EE8,MOTORCYCLE,495125,83492,23.85,8.99,7244.79,1.8071,125,1375,59239,870,17076,1507234.27,32.97,EEA_TRANSPORT_EMISSIONS,SECOND,2025-02-23
2020,HU,GR324,BUS_COACH,116212,3964,47.44,15.89,60606.92,0.7125,3004,28387,63944,7795,15449,4081245.09,31.91,POLICE_ADMIN_DATA,BENCHMARK,2025-12-13
